id,A01_neg.A01,A02_neg.A02,A03_neg.A03,A04_neg.A04,A05_neg.A05,A06_neg.A06,A07_neg.A07,A08_neg.A08,A09_neg.A09,A10_neg.A10,A13_neg.A13,A14_neg.A14,A15_neg.A15,A16_neg.A16,A17_neg.A17,A18_neg.A18,Mean A,B01_neg.B01,B02_neg.B02,B03_neg.B03,B04_neg.B04,B05_neg.B05,B06_neg.B06,B07_neg.B07,B08_neg.B08,B09_neg.B09,B10_neg.B10,B13_neg.B13,B14_neg.B14,B15_neg.B15,B16_neg.B16,B17_neg.B17,B18_neg.B18,Mean B,C01_neg.C01,C02_neg.C02,C03_neg.C03,C04_neg.C04,C05_neg.C05,C06_neg.C06,C07_neg.C07,C08_neg.C08,C09_neg.C09,C10_neg.C10,C11_neg.C11,C12_neg.C12,C13_neg.C13,C14_neg.C14,C15_neg.C15,C16_neg.C16,C17_neg.C17,C18_neg.C18,Mean C,D01_neg.D01,D02_neg.D02,D03_neg.D03,D04_neg.D04,D05_neg.D05,D06_neg.D06,D07_neg.D07,D08_neg.D08,D09_neg.D09,D10_neg.D10,D11_neg.D11,D12_neg.D12,D13_neg.D13,D14_neg.D14,D15_neg.D15,D16_neg.D16,D17_neg.D17,D18_neg.D18,Mean D,QC01_neg.QC01,QC010_neg.QC010,QC02_neg.QC02,QC03_neg.QC03,QC04_neg.QC04,QC05_neg.QC05,QC06_neg.QC06,QC07_neg.QC07,QC08_neg.QC08,QC09_neg.QC09,Mean QC
264,0.905679587,1.16243517,0.629582957,1.748051667,0.928054995,0.91220712,1.203889979,0.928402332,1.356338615,1.115564779,1.403431655,0.758198846,1.049607574,1.57672344,1.38631295,1.68038817,1.171554365,2.133621685,10.76487475,0.580954825,2.336695306,1.022024339,1.409724879,0.949655896,3.042135017,1.556789987,0.799204959,1.307172378,1.580053636,0.66708397,1.815535803,1.607847408,2.649984183,2.138959939,2.952897226,2.842087836,1.206090858,3.113887596,2.300163976,1.710341818,2.521188537,1.439677895,2.446441152,1.207878268,2.208053897,1.631300037,1.608038466,1.527814712,1.300115876,2.580192947,4.771246435,2.273815349,2.202290716,1.164467129,1.182740675,0.637554564,1.651526419,1.103355068,0.799552905,0.849792869,1.025223,1.226650126,0.860725193,0.439795947,0.545690025,1.7576717,0.557355077,1.161830319,1.019053632,1.151472852,1.102387854,1.013158075,1.702187012,2.221845661,1.489992337,1.525889746,2.115706609,1.656437394,1.71280378,1.889639269,1.939686667,1.828682347,1.808287082
265,0.259123791,0.281184812,0.242551507,0.302490338,0.346645026,0.223897778,0.319212899,0.242241171,0.341137652,0.215594751,0.227445391,0.227688366,0.164692163,0.24716102,0.224383703,0.227411865,0.25580389,0.33222937,0.526187962,0.207574983,0.267117269,0.209228084,0.227884213,0.275143672,0.286043665,0.304413769,0.134269854,0.260343572,0.231913379,0.144609742,0.3140327,0.280285964,0.316933508,0.269888232,0.581947111,0.295700882,0.292641316,0.442518356,0.323634201,0.26495435,0.364730041,0.273868965,0.281920137,0.196046323,0.275280205,0.306653983,0.278207127,0.312806928,0.208058972,0.261701019,0.825610503,0.405376228,0.343980925,0.403231832,0.242386821,0.250375947,0.32612292,0.200275055,0.201429222,0.254521505,0.250558746,0.245745681,0.264306576,0.220009125,0.162797492,0.286473138,0.332259604,0.260014845,0.211734104,0.293929921,0.224019975,0.257232917,0.272191729,0.270238442,0.313166643,0.291832654,0.277468028,0.271027998,0.294740654,0.315132838,0.294424779,0.279368396,0.287959216
267,0.116212947,0.077049243,0.121577274,0.234724018,0.085081528,0.115813546,0.109766706,0.078658066,0.196109113,0.107741028,0.098559463,0.057576819,0.055323805,0.063355708,0.145854765,0.193672846,0.116067305,0.143912872,0.19741487,0.073644173,0.172627661,0.063871444,0.130795883,0.091934634,0.107398649,0.118044675,0.064801873,0.078435815,0.06702592,0.038632351,0.082602524,0.130713269,0.207868406,0.110607814,0.123836155,0.103652766,0.065953646,0.159505739,0.102710444,0.136375545,0.136177239,0.062680257,0.094653667,0.076997846,0.139731323,0.087837746,0.052672996,0.05360059,0.04405834,0.051081866,0.186246882,0.15836193,0.102007499,0.217713423,0.064082609,0.129049883,0.197990857,0.072387724,0.154337551,0.173824725,0.103042788,0.240711227,0.122992747,0.151836294,0.125922315,0.152529686,0.054338982,0.084266739,0.073576064,0.216659375,0.197318199,0.140698955,0.111435794,0.114465212,0.124326455,0.112975273,0.119902887,0.113625568,0.117653279,0.128777534,0.116950181,0.122276997,0.118238918
279,0.07077431,0.071599221,0.093495589,0.074082517,0.08827533,0.116186065,0.087112774,0.071448223,0.143302529,0.117667558,0.09687671,0.125950769,0.07715838,0.080894557,0.113463316,0.137611686,0.097868721,0.087489886,0.133663049,0.079532653,0.076294598,0.053603303,0.066912892,0.065998975,0.08857063,0.106368649,0.066277708,0.090158181,0.098006245,0.061938802,0.09486057,0.080416669,0.103195218,0.084580502,0.097124674,0.055086172,0.064169014,0.081522714,0.095976281,0.10090699,0.078430502,0.057014595,0.09069171,0.096409381,0.136477478,0.091486226,0.073628127,0.075520245,0.11022846,0.064407358,0.161296216,0.095431678,0.090322657,0.082630169,0.05531863,0.077592996,0.072637018,0.063900258,0.081036765,0.061572934,0.061880818,0.13969709,0.084273458,0.128176154,0.081005058,0.096328192,0.090218731,0.089004888,0.090543737,0.126628821,0.088197221,0.087257941,0.079855008,0.08427674,0.074509239,0.078517145,0.077827483,0.072863796,0.081836377,0.084139186,0.088579238,0.110366479,0.083277069
285,0.020345243,0.015771877,0.014296823,0.021470411,0.015799216,0.02056815,0.019881591,0.013685887,0.038390954,0.021968912,0.018837524,0.016320021,0.01135768,0.015061048,0.019940282,0.104679738,0.02427346,0.027484074,0.04438771,0.013537291,0.024309821,0.021416933,0.02197417,0.01967722,0.026943534,0.028305725,0.015560357,0.019344838,0.030533157,0.010812937,0.023305315,0.02622188,0.195417173,0.034327008,0.036276261,0.018882434,0.021324024,0.031888712,0.028521653,0.026933009,0.034160062,0.020836394,0.031446002,0.026210763,0.10889183,0.031833534,0.023051744,0.020225863,0.024353323,0.022173096,0.099091782,0.118476666,0.040254286,0.024028366,0.013210227,0.001423534,0.022543929,0.012844663,0.017956402,0.019013545,0.017607226,0.034927136,0.022270697,0.050108272,0.016471554,0.023757716,0.014435871,0.017383867,0.014717362,0.026087456,0.110039787,0.025490423,0.032415772,0.031098925,0.03787882,0.03504675,0.036805031,0.032194141,0.032248961,0.034324312,0.035283793,0.032220497,0.0339517
286,0.063914471,0.058933374,0.077075106,0.070526591,0.05230569,0.046106247,0.028135941,0.036322025,0.091428902,0.056092134,0.059872692,0.071469514,0.033126026,0.058435951,0.030156855,0.037792035,0.054480847,0.045556115,0.059437083,0.090463708,0.036195444,0.044966932,0.039623377,0.061882249,0.03788452,0.05506502,0.019583581,0.058915263,0.076511698,0.048465892,0.060568496,0.053546535,0.058461712,0.052945477,0.067513384,0.054554301,0.044859945,0.065709496,0.054137712,0.028483789,0.064765021,0.060177633,0.06361116,0.021577899,0.10137407,0.107910299,0.049213933,0.076792938,0.051629518,0.056635489,0.097069633,0.053577696,0.062199662,0.053055178,0.048472033,0.065445905,0.045149025,0.058672712,0.033403088,0.037594988,0.052122139,0.03602278,0.041828486,0.056955984,0.035168553,0.048408838,0.057269158,0.042729356,0.033977454,0.058494934,0.092001103,0.049820651,0.036278472,0.041382799,0.073298123,0.025096853,0.06250492,0.05097994,0.055034266,0.061084964,0.062265391,0.061799895,0.052972562
289,0.234092786,0.530503982,0.541934102,1.490490063,0.871019373,0.259495391,0.798516551,1.37896875,0.444546669,3.908453121,1.14280376,0.598567539,0.136124853,0.331088454,0.307805293,1.016188101,0.874412424,1.877220825,29.86634489,0.158231892,0.946269372,0.228287258,0.763485876,0.725205854,11.9622708,0.574473328,0.149499672,0.798251121,3.174452648,0.580311901,0.662376493,1.174740605,1.689568136,3.458186917,1.099634571,0.565352696,0.514324004,1.341327829,0.550903461,0.726064333,6.297908697,0.702176585,2.681693512,0.292118873,1.051435577,1.038176478,0.580499795,0.291235034,0.309099669,0.948004832,6.19005537,1.22226657,1.466793216,0.400720348,0.224254078,0.404848992,0.413205145,0.348979546,0.296722844,0.553043316,0.380103682,1.009559891,0.263059025,0.719531138,0.534267686,1.062303131,0.297718732,0.970864793,0.941973593,1.151037102,0.863266531,0.601969976,2.051043727,1.931969254,2.249986109,2.087939182,2.006461967,2.113985332,2.165501484,1.985889043,1.916191446,1.901817461,2.0410785
324,0.222316163,0.272341113,1.069226023,0.84203875,0.674556892,0.44403361,0.407711238,0.711455089,0.396400393,0.164896284,0.71649989,0.724205527,0.167316952,0.508645882,0.257966345,0.235816109,0.488464141,0.322932338,0.284766411,0.141388396,0.671032901,0.266028128,0.210623797,0.150697833,0.403372567,0.154730458,0.104265213,0.4290405,0.408273924,0.103746735,0.393262309,0.269386949,0.244318649,0.284866694,0.205642182,0.187429781,0.080553729,0.216017638,0.190547307,0.187841051,0.124200346,0.11346855,0.126238923,0.100413763,0.415203767,0.18301144,0.169053815,0.244124876,0.118566115,0.16214853,0.159325821,0.233825786,0.178756301,0.317216676,0.328885067,0.268195566,0.986189233,0.362673842,0.37113318,0.357418093,0.190329685,0.227215348,0.189143741,0.940353495,0.532773933,0.853836705,1.915070912,0.239357618,0.375817498,0.330138667,0.18404679,0.498322003,0.283690876,0.310506069,0.32152702,0.334382322,0.307734695,0.288279902,0.30508366,0.324981572,0.325468535,0.315126349,0.3116781
329,0.073071312,0.09965605,0.086928504,0.072239491,0.078713328,0.085755103,0.122696333,0.045863688,0.150397215,0.217869958,0.141973454,0.070016124,0.066301004,0.086687492,0.085165443,0.081638316,0.097810801,0.139752931,0.198941499,0.098683619,0.10391673,0.073444678,0.119836452,0.105804375,0.083174326,0.100591302,0.201068623,0.128816321,0.07539039,0.075846597,0.11243685,0.064977584,0.10165369,0.111520998,0.123,0.149389845,0.105727887,0.134699108,0.108099185,0.115519663,0.158672224,0.069296032,0.099206642,0.236052373,0.164887512,0.134636374,0.135598258,0.104111201,0.105915162,0.136168081,0.113813631,0.125152398,0.128885865,0.081696201,0.111553284,0.090848672,0.067981813,0.070548432,0.09425265,0.109979891,0.051612862,0.10312685,0.177771116,0.095709717,0.086081467,0.131488668,0.062746553,0.090535574,0.093590349,0.091236101,0.062981524,0.092985651,0.097909314,0.11548314,0.12134747,0.115403333,0.113046392,0.090940446,0.109634051,0.098246769,0.103922335,0.105316528,0.107124978
330,1.735222943,17.94992861,7.046465595,10.06107689,15.35876273,7.492723492,3.389878825,7.538287348,3.738919034,3.103042404,3.176369242,1.210769412,4.9989091,1.944391509,5.951113556,2.92081461,6.101042206,2.068921237,7.250487174,5.672473476,5.742899747,6.402144839,6.262898064,1.975150686,3.488964388,1.719645464,2.788390851,2.60704722,2.587403107,3.642843586,2.008387918,4.710714822,1.569286133,3.781103669,4.014173078,14.63654607,5.768773837,11.75749445,11.48826861,6.250723975,4.487203143,5.768555256,2.168209057,1.572347719,2.919532671,1.984621634,3.50901269,2.273690193,2.464945118,10.75237883,1.988884869,1.863554418,5.314939757,3.011946359,18.70528069,3.399097854,8.976443136,11.62678498,9.882805381,2.958729839,2.402655505,2.721775265,3.494300239,5.645459718,1.52220077,2.35210747,1.777251698,12.23559133,2.768335367,7.943032343,2.337347384,5.764508074,3.091838555,4.61306313,3.988186028,3.872365845,4.031821883,4.038171181,4.326425265,4.19560154,4.307897836,4.692007489,4.115737875
