name,QC01,B17,D10,A13,D18,B14,C07,B06,B04,QC02,D08,C11,C15,B08,A08,D05,D13,A09,QC03,D03,D12,A15,B10,C14,C02,A01,B18,QC04,C12,B07,C04,C17,C01,D14,A16,C13,QC05,C03,A05,A03,D04,C09,B15,D16,A07,QC06,D15,C10,A17,D07,B03,C18,B05,A04,QC07,A18,D09,D02,C05,C16,D11,D01,A06,QC08,A14,B02,A10,B01,D17,B09,A02,B13,QC09,C08,D06,B16,C06,QC10
11707,66490.76125,54162.31878,62863.7865,65213.96943,45985.93708,49127.98854,35751.76415,70880.69684,64571.76879,67186.33057,80356.19616,41893.46947,17796.81504,54763.90847,72099.62285,30842.77026,81850.31757,22914.87611,69683.1348,40154.04696,27411.12733,42447.19631,40984.59,30120.20161,35541.32625,83506.74243,49923.35155,69402.338,30256.68782,49388.57057,38157.51976,54858.88136,57885.14147,45311.6613,22029.32333,42642.69229,63685.32211,20408.34442,54215.65668,54544.06645,54704.94553,19892.808,24397.11741,45799.462,67908.172,54401.276,56332.23372,30468.1992,68623.98235,55772.041,29911.9905,49406.05395,32615.16084,75890.41056,66388.157,45468.93268,104343.4214,49365.62232,32947.48737,26614.27827,52580.96878,108912.981,57108.65354,58714.70625,50173.64451,48191.33953,55276.40327,81478.9969,101853.3357,67627.942,73036.78503,49783.379,69117.96533,28545.975,64490.83033,38370.09736,46316.26443,63101.90665
11710,21316.3905,19797.21059,12866.98332,11208.26502,16924.32262,3781.188,16723.64335,13750.41161,19729.01274,20239.69571,15006.03353,29912.23847,3053.20548,16750.21936,5121.144643,11544.5036,15974.45255,11194.31347,21132.32061,12985.40306,11034.41957,12550.50204,12839.23346,28938.13678,16309.01768,19167.99198,33586.71059,21384.43662,14455.79344,13834.97883,32722.92779,31954.08,42309.02707,19551.55763,12745.20951,15402.20975,25480.80163,18659.0882,14933.5592,16551.21177,15008.95,8341.681765,13895.10938,21401.98662,16531.2768,25306.07085,14581.34408,17650.33382,22905.74588,15446.57016,10376.56053,35376.32868,16608.53264,16925.01656,13782.66263,16141.57278,13766.03127,7666.3585,25273.51796,15234.91284,25697.96474,24513.83289,14492.82441,14349.57533,7504.7,25275.63406,7410.374813,21845.76176,17988.37258,9433.94935,11121.17933,13299.78035,22762.3845,12291.85785,12418.24691,5637.3185,12304.48189,12863.28889
11712,35040.52488,25960.06438,25029.09956,29679.4145,27568.53079,25384.04504,35379.57775,31689.50788,35797.63065,35308.1161,30587.01152,41377.2179,29347.73113,37505.46672,27704.71893,20337.23834,38100.74929,10032.00479,36713.0229,25950.83179,25019.66856,27097.59252,18170.35552,29417.0156,33482.54341,27984.99783,32134.9398,33655.82922,26177.70772,22676.47205,38744.72343,31970.5221,43269.65508,21319.29765,26696.97422,28457.72712,27959.10344,19723.35474,25673.526,19863.41063,29156.1686,14498.68833,15695.13252,22655.27829,24750.23978,23805.9594,30614.13424,22689.8793,19789.55193,25811.8344,16356.33524,32421.6866,18507.18088,27473.99467,27869.375,22068.28235,33143.29064,20458.42159,25716.31843,21841.69067,24787.98514,44544.18958,18339.14526,29024.92453,19214.33876,29755.32683,18341.56394,29828.76346,26418.25313,16139.90306,19424.20843,21958.78356,24709.83778,22357.77867,15879.76907,23361.156,18341.206,27040.76306
11743,11169.2594,3366.566667,1499.790333,11159.97089,392.2842,11048.63898,648.788,8457.968994,23361.67999,11985.31165,11034.53404,3241.6902,15661.36132,15566.88598,9669.716263,2763.666359,15776.24644,4841.595802,14366.66649,18870.51213,10065.49501,9783.861351,985.0968,16924.39425,25894.33414,975.502,2394.168273,13765.63055,1186.187143,2304.962128,15212.99689,30243.16818,40556.0131,8238.590057,643.7254,4322.545855,9367.580625,25339.39629,3949.717693,11021.33436,6579.313333,8441.106628,4295.116,4868.5315,11081.58943,10996.71233,4772.557143,9468.211,8110.868205,8307.863333,19691.21571,10501.09683,4215.327273,5957.616,9295.625,6237.322258,7440.280762,3456.164932,8521.840599,14371.52234,2509.576668,33144.601,4478.153229,9605.134,6088.472904,13265.88889,4615.311545,34957.614,6920.4,7851.489258,3062.496185,15115.324,9214.8925,7288.343796,5654.355556,4332.16,6038.768667,11166.05365
11744,5298.18451,4041.283173,4762.8,4170.817929,4602.882667,1901.11,4168.762859,4866.035892,5952.036667,3299.0539,4102.52475,3984.462857,2663.5,5127.210278,2124.446667,2452.186824,4936.28909,3829.689455,3242.2,5807.306,2245.065071,4519.036182,2430.742909,2139.634667,4983.020533,3730.504167,4556.542857,3387.142857,4640.633617,9190.649709,5504.535407,2641.797,3745.949333,1769.697692,4822.190011,3464.559054,3329.335385,6443.188081,6497.996682,6455.515761,12060.615,3680.7498,2515.113436,5403.339609,4217.948,4782.47852,2857.145,5641.344,2367.730909,11181.46566,2885.974,8292.612869,8179.470186,10410.69488,4346.937429,7835.182,3452.550167,3197.493713,4463.657258,3749.516403,6453.115287,7758.055333,1702.166,3088.2145,3751.087452,5483.250011,7442.268333,2000.451556,6455.541924,2446.0296,5004.838928,5440.447549,3254.432727,2970.60175,3603.776143,4437.540369,6247.210693,2847.378333
11759,42269.42888,48052.38941,48628.79941,45421.60135,54084.13282,82940.1114,60770.75871,73421.89764,54028.63646,57902.42775,44192.03573,87681.72771,48095.38118,51971.35199,49141.33516,50882.82194,57363.30096,25594.28799,53742.39259,66861.52741,70739.81297,62575.29647,39515.92006,73486.044,67608.14734,61576.63412,48850.61283,50341.13795,54708.326,73896.45721,60341.5587,45074.6712,56097.35353,84591.25123,36443.00869,49804.832,60570.71368,58383.042,85810.38348,65163.558,80455.69145,55184.61641,38485.50588,63114.4347,72684.62175,35417.98781,76993.5516,39179.73788,62344.36106,77497.09654,63801.54547,42827.20147,75440.15156,55873.39144,36013.09963,59299.76141,60833.18083,62748.68435,84365.72902,47532.47247,116653.2847,39399.60938,89196.92757,38790.95813,70922.36318,93850.29328,53542.82941,44691.075,60575.77275,48945.87,63085.6512,54838.82035,55710.19362,36317.13079,66246.64959,66214.70655,75725.21258,52741.88082
11778,75626.35367,54914.11112,49066.5277,43331.2115,39184.88706,57037.54537,42819.90328,54960.06234,51620.62109,52457.7529,35812.90867,121679.8197,47749.48001,31277.43572,30168.80401,33058.75377,54905.1501,18904.39417,49363.46162,20964.84394,18028.36233,27096.64603,30701.32,71290.60128,45491.29044,33651.57424,42923.504,47130.082,25687.18175,35166.18945,56825.22837,77421.80153,67835.664,43851.03111,64946.6045,48392.43315,70502.24514,23623.86,44890.49842,32923.05408,41564.97778,49814.43806,21664.398,50418.95111,46157.88541,51528.21789,36356.04762,54323.40794,40495.60044,57647.9008,22600.64184,68870.21517,33966.50133,57532.80807,59667.3966,42393.13344,47536.28672,36109.07916,55013.39317,90965.42265,75285.65605,51883.54333,55358.77539,71765.11883,53428.36778,3306.977143,46980.08467,56852.58333,57562.2091,55945.53808,46851.98556,55142.96706,51233.3086,41640.16832,46695.02911,80461.47711,62763.532,64338.97953
11782,19500.68905,12245.32274,11397.4694,28467.59584,16138.4894,27112.1168,18418.8125,14480.26425,15751.3132,17468.60355,20286.68906,18262.80304,12427.62496,22133.64062,31890.05631,27415.86375,18953.45231,16655.217,19781.5175,18965.65212,2242.161273,12551.82104,8160.037813,12282.445,55657.41032,9121.016667,15837.41693,16072.14537,10095.01533,13906.50086,21550.96604,18436.67048,14962.02348,30274.30313,13287.22544,10610.79085,16110.63919,9181.988068,53618.4,19054.16719,32074.77607,15593.97706,9184.332733,7892.590588,13640.96811,16565.607,8938.417931,5796.326823,13703.04395,9726.577368,10406.14219,9748.975891,15708.69466,18462.86006,19096.33552,13698.03,13816.10276,12795.37188,10410.37448,12268.35511,15523.30664,17805.77369,18701.85073,16974.78762,28096.65247,18942.54225,13401.09028,13829.6984,11427.08,12272.2207,15361.34812,12881.8844,17892.15992,10501.11,19416.03295,13587.6269,10146.052,17371.67407
11803,24710.09333,26692.88568,36039.48833,53058.3025,22436.31331,30504.21429,32335.98017,44186.91019,36581.95722,20428.11,16702.49401,58197.7515,32962.79179,52141.44571,49183.31571,48413.179,39060.5344,32381.2701,23718.58133,61589.10508,39976.75627,69543.5685,65565.95973,30006.35489,24536.15357,36488.76,53716.63025,23023.46933,58486.31386,61478.85838,41232.9165,41176.02445,51669.18133,24356.60161,72137.48205,69947.131,20218.25,44627.97713,64369.24721,98942.40344,73624.50311,52108.38669,34410.99316,65570.44975,74060.668,23857.02,36757.71307,60505.13023,79600.16805,50002.14223,64375.76252,46327.34118,70097.99173,62102.21176,26313.92077,43656.73031,31869.37493,30732.1049,43342.38079,29467.10667,36084.11728,26436.53194,64607.16926,21375.12378,50963.97407,44328.44505,59092.54745,64287.45905,46160.81448,55059.85285,46060.88243,51308.9084,21959.33333,29089.07637,41371.00285,42272.30939,51305.45605,23132.15432
11843,173560.3046,130769.1198,117508.5514,123041.3066,181104.4888,154874.9886,175238.2703,184520.5896,187547.2304,170642.528,160929.4471,593290.5039,152753.2791,167485.7024,144396.5462,132577.7664,164418.5594,49356.95952,158168.9967,178472.2183,129167.9031,119148.2351,70375.65206,196912.3844,126470.9932,146478.7873,153281.3098,146307.0763,104453.6931,154680.7596,196448.093,161953.6217,153888.1064,157666.5391,96730.43223,123239.003,135081.241,162074.8609,183734.8541,181322.0978,188760.7128,97477.94224,80023.454,125735.621,122035.5502,149492.9691,235638.1104,133383.4652,126501.3978,227963.0277,209003.2844,345503.6805,121258.6018,190630.3873,138720.0746,314390.1302,235406.9454,146424.8603,380316.4387,149541.0219,464446.602,156110.4813,207214.6111,148930.5793,133832.6258,193320.3733,100420.27,204548.2455,165699.2425,157040.2019,149047.3255,135039.289,146713.0574,123306.9412,190520.6434,146713.6397,211297.4754,146693.7198
11847,3472.322294,6793.118287,3256.782146,4945.729999,3977.410006,3663.514566,2735.767111,2061.175,3255.675954,4846.85302,4878.253975,4199.607352,3512.145,3004.6744,2789.44727,1737.437274,4380.868109,4571.096,2992.240552,3484.529846,3570.874326,2352.118588,10209.64921,5212.943711,2597.413089,4447.166411,4245.2622,5538.940854,3310.2156,5659.312551,2635.68025,7146.635008,3673.40008,2903.119214,2628.342294,2340.757692,3362.26,2841.231647,3057.215968,1727.725286,2009.104138,5086.186684,3404.777267,2606.146364,4560.997059,5098.825927,1053.330571,11137.52769,2865.13073,3941.129615,2613.822353,6478.105941,2387.733667,2060.974688,3477.564063,3170.360286,3343.7568,1264.61019,3589.882144,1569.0495,2590.0725,2065.141143,1032.17475,3075.219,2802.327273,2179.100438,3369.409684,2382.579706,1305.922647,4367.646316,3739.384055,2854.112857,3168.711111,5617.995484,4559.349201,1806.633333,5319.895644,3311.106111
11868,15926.79508,9668.225,10538.4362,11441.58146,15744.4976,14428.20053,4734.356786,20727.75527,14480.83417,20025.78836,21528.87319,14794.84479,8632.234167,19274.88675,18436.67615,10262.03091,16013.65802,17004.3521,13315.4,18906.75953,11829.31414,9947.317305,13737.10767,17915.83792,22637.01742,26368.32857,62864.00769,15744.82267,13198.63,9089.698588,20688.27125,22678.1,37205.5552,19250.81698,14009.40206,13673.75602,21334.58684,13167.4308,17499.7761,21681.10471,21475.15386,16050.79074,7886.14582,11377.36531,20023.31818,17744.85,18936.5174,35038.37327,26692.63803,17043.09945,14168.95731,45162.00445,14713.48167,34083.75805,16836.36621,33473.94026,27362.45475,14186.56276,22766.01115,20031.81165,28825.44882,50599.04989,18969.40471,21082.77047,24046.59316,31396.33115,25516.46888,39615.7269,40610.45026,28152.14574,23684.76188,12882.96,22442.2823,25206.10956,29405.27982,21287.979,32609.28166,19307.75081
11887,6989.214538,6596.562857,5092.180714,28503.57429,11377.935,8610.239,9204.734786,7624.199786,8938.579737,9321.75,6190.738385,6367.796786,6344.645588,8104.866857,5975.009929,5576.122588,41233.46901,11996.14,10082.72571,6387.072615,3982.197692,4010.173846,3790.429091,6683.877357,9108.361429,6287.338071,8978.905385,10026.812,5957.101538,5528.615125,10427.49738,7285.696429,10866.68588,5901.879375,4230.905385,37485.6775,6802.303846,4856.55216,5081.142857,3381.461308,5921.8005,3726.852793,3108.41975,3871.630571,5661.600266,9621.90225,4541.147929,3942.749176,2876.989929,3463.24,2962.515666,7596.251357,5092.981659,4255.952818,7769.965412,3297.682674,3641.145,2846.031921,6015.44412,5182.113111,4334.920736,7443.595882,4283.802119,5183.662222,3140.528,5024.710167,4155.008571,5645.434662,5101.092857,3339.608398,3577.1364,18689.83017,11116.91147,6260.371695,3598,4749.117905,5343.663077,7053.999023
11895,10883.78722,885.6932158,16417.197,3691.996704,4674.72995,3812.8392,14225.776,2219.939032,903.1553991,9112.569142,1380.317167,4345.557857,18303.06233,6023.206895,7715.432182,8433.802588,4159.942417,8833.083235,8501.3474,6465.32,3307.203196,8745.292,3235.588235,10077.64972,23500.77429,1010.277114,5707.6495,7761.831933,6445.892538,6115.0284,15111.86312,13982.49521,24153.43016,1455.401398,4517.33,13493.58231,11319.13025,22967.95207,6337.967201,13287.50288,4405.839557,14223.49802,2626.546186,8378.795118,8689.90727,7649.884158,2887.018394,14496.34218,2650.222744,8055.543692,8161.567039,11071.47576,2689.990723,983.998186,8266.7812,1210.959229,11221.24714,9676.389191,20260.68446,20149.54341,2694.765773,1995.001723,8190.545661,8665.16444,3038.633766,6930.590138,7711.014593,8808.943532,11604.99103,6649.806411,9984.924679,3515.107425,8700.798412,10939.59477,713.9661363,5848.860258,8644.942722,7378.72875
11912,595022.3404,286345.7027,278062.2913,481518.9355,560440.1507,390501.6374,265735.2393,681375.8723,609822.3475,450427.1572,637618.8116,411890.2553,206883.161,397510.0967,456272.4359,451171.4365,448689.0811,438828.362,429411.1407,340747.5051,524825.1001,536947.4532,442820.765,247975.5222,232100.5714,607096.7603,395531.4237,479523.9813,273012.7074,400400.7155,265866.3723,223661.7365,198083.001,321287.3239,445053.1474,265217.1603,496767.8303,311583.9907,429821.1248,930243.255,651773.5026,313934.1873,392210.9253,453400.718,532952.1086,531055.3716,576005.8839,363301.5986,597453.5256,573975.1281,585867.3302,342031.7129,338191.6226,907005.5536,554602.301,718464.3337,1107528.026,725241.6419,441754.1486,334693.2824,716761.1023,907936.4598,1148026.436,584500.644,864521.3392,782513.087,445770.6964,752425.7411,484161.0783,458994.555,888396.0969,621408.591,523742.7058,324813.6758,1090368.068,477691.4023,378960.2814,534563.9893
11919,1287694.531,893308.3182,1625264.347,1401625.416,1406120.199,1192940.677,1124767.898,1615176.557,816792.0884,1114094.907,1243967.292,1201936.369,749885.4407,844737.3642,1242922.553,1548735.342,1861207.343,1159985.1,1273510.035,1363918.783,1082489.188,2210652.19,1032234.61,1353994.312,787151.6598,1240748.057,1117463.019,1244634.821,969448.6306,890102.2198,765480.6795,822676.5367,1013572.512,1184881.329,1045159.915,697558.9908,954522.935,705819.1963,2471664.312,2141333.644,1028214.876,693683.9668,595403.4516,943961.8615,1473843.728,1141893.191,2433844.355,877709.9809,1180564.261,1616377.084,1587386.675,950414.651,1244939.015,941311.3631,2120071.299,1624652.098,2370559.235,1174565.853,1135517.147,677597.139,1247742.352,2075857.403,1717550.441,1298886.341,2016564.888,1135776.184,2132423.082,1543607.508,2063166.73,1314293.513,1202841.115,943489.12,1222002.692,1237366.403,2642489.471,1033903.334,1139805.066,1552795.55
11921,460683.7322,348265.9838,653964.4629,458986.9852,450791.3504,295262.6337,369896.8758,393686.4989,331240.9598,390998.574,335649.1909,435136.0038,236197.3514,252849.0801,357234.9922,359518.5025,602218.7347,277357.6181,443808.0247,364532.1902,215821.4174,310061.3652,319231.7091,304514.2327,273180.3146,409670.8664,395433.8607,476860.748,312952.3629,228863.4064,338775.6181,421553.9487,552844.804,338058.5905,275387.8942,248178.7952,326189.7201,176065.379,336673.2933,285121.2796,393757.5221,228886.966,178174.9907,186760.5476,373316.1274,431973.64,439356.9338,286991.397,419249.4331,494839.9158,260507.8921,324085.3419,228762.3127,439121.3349,430786.5718,429382.7005,652079.3371,360807.7105,309623.1708,188634.719,345005.115,808520.5734,558386.631,484073.6831,316371.5273,427848.1587,583017.1626,462609.0293,738013.3374,481831.0568,418122.135,336237.4379,465417.0516,271364.6494,491941.669,277004.4509,294014.9695,389290.4635
11974,33162.79957,19961.12512,34946.35533,27779.82244,32275.18018,25504.48558,34859.12317,42532.11124,38241.45331,29941.97181,21207.15633,41494.57911,21606.16254,20749.41727,27310.42096,20119.45,33277.15492,14087.74955,37595.99638,24848.77207,15989.03058,17814.54033,955.4571429,9128.584,21861.93188,19743.73985,26242.15106,33832.34635,24763.92741,23043.70335,29272.84783,22797.00371,25294.15048,32920.55208,5245.92,24074.71588,34939.40174,36159.47548,24103.91768,15869.75437,25071.07223,19720.92195,24035.27856,13166.84211,16526.86224,31783.03394,27988.27784,22273.965,18313.33594,30117.83493,24472.593,17396.40416,16200.05909,29536.91375,30387.48632,26563.54556,23466.73895,17059.23773,16306.07802,12902.46533,34390.09184,40400.08874,30536.13995,31858.90911,22617.41328,14229.30265,37311.29128,28062.55294,29331.759,27530.69211,23651.16821,20406.0913,36425.92078,17411.70177,31175.1558,21208.19594,18777.33333,29396.808
