"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X1552",2.58075271899802,1.09755098659501,6.06831452749018,0.0297517695979466
"X1558",1.26843520856998,0.616400857052755,2.61019734143923,0.518390575161443
"X1564",1.15471756867127,0.580014270732737,2.29886182233692,0.68218055462831
"X1583",1.21405774500432,0.57120563551536,2.58039507414023,0.614098508921797
"X1584",16.1522680390008,2.65692863852398,98.1944938305396,0.00251818368677158
"X1586",0.255681804517035,0.0913425696011463,0.715692425191712,0.00940540070689374
"X1591",0.897971693118993,0.452482879760218,1.78206336131501,0.758272070620092
"X1595",0.591104115908545,0.261902701681891,1.33409878401488,0.20553617075286
"X1596",1551472342755148032,0,Inf,0.999507122008795
"X1626",5.27883568621199,1.19224454054617,23.3728109077855,0.0284058911366893
"X1627",1.37885148232688,0.668750110917759,2.84296238501685,0.384207150317775
"X1639",0.186868660661808,0.0548445463718988,0.636706813121354,0.00732313012379251
"X1648",0.297288846690197,0.11357439366434,0.778174159816251,0.0134786778452561
"X1657",0.733447683855054,0.361088518813188,1.48978845054515,0.391211383260332
"X1659",0.942321502188926,0.475723967898019,1.8665652214478,0.864728600359646
"X1666",16.1099805504522,2.76686328149269,93.7998906819614,0.00198642736181408
"X1672",1.17233850727444,0.548665120545983,2.50494796219378,0.681476261839826
"X1678",835.542837772676,0.868820140145756,803540.113188553,0.0548738175972308
"X1694",0.34262471836435,0.133816845745972,0.877256499208615,0.0255483278187582
"X1701",8.43002627949494,2.24275407091794,31.6866409895264,0.00160163080515172
"X1706",1.46880551899281,0.68877991132136,3.13219014835232,0.319720566640312
"X1711",0.424191540002501,0.154305743358671,1.1661164302319,0.0964847178662787
"X1715",2.52542655176718,1.03950069851214,6.13542566878441,0.0408016350862524
"X1724",8.32316475902847,1.37227442152626,50.4819375186526,0.0212165672653762
"X1737",1.33573441321366,0.657387627426272,2.71405537343085,0.42353665554738
"X1743",0.883930721363234,0.444869847363932,1.75631934778116,0.724689722967845
"X1748",0.00524652211815308,0.000132049107761802,0.208452709774628,0.00519532866685941
"X1749",0,0,Inf,0.999669825530767
"X1752",0.824681239087694,0.412144071606454,1.65014904485299,0.58597039245071
"X1755",0.6740961174665,0.327930408607761,1.38567684989203,0.283385177279116
"X1758",0.00236832336977701,1.54706852704105e-05,0.362553790332721,0.0185094304822066
"X1759",3.49834576292421,0.972216158227378,12.588170823332,0.0552545075368729
"X1760",0.00553007044964,0.000174679973689235,0.175072611542683,0.00319278578084136
"X1761",0.0773114110005628,0.0102119604046401,0.585299397379379,0.0131890792252151
"X1762",0.00561055060012395,5.97519940412128e-05,0.526815523760424,0.0253153677745564
"X1766",1.36534927645927,0.651861935856833,2.85977527477119,0.409053289025277
"X1776",0.747313397434314,0.369694952069803,1.51064360186171,0.417281271225337
"X1788",1.66707733949538,0.798258073226292,3.4815142484267,0.173742506034901
"X1791",0.0788053992920959,0.00951535498407604,0.652659934177926,0.0184927669305778
