"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X9449",16,0,0.000371,0.000762,0.000465,0.000577,0.000524,0.000522,0.008383,2.3e-05,0.000475,0.000573,0,9.2e-05
"X9450",16,0,0.000356,0.000742,0.000452,0.000552,0.000494,0.000468,0.007904,2.4e-05,0.000443,0.000545,0,9.5e-05
"X9458",16,0,0.000186,0.003665,0.000658,0.00171,0.001246,0.001057,0.019941,0.000223,0.000771,0.001722,1e-06,0.000892
"X9481",16,0,0.000347,0.000784,0.000454,0.000648,0.000563,0.000571,0.009016,3.3e-05,0.000492,0.000635,0,0.000134
"X9514",16,0,0.000247,0.000836,0.000354,0.000422,0.000413,0.000386,0.006609,3.4e-05,0.000341,0.000485,0,0.000135
"X9527",16,0,0.000398,0.00204,0.000436,0.000756,0.00069,0.000596,0.011048,9.9e-05,0.00048,0.000901,0,0.000395
"X9528",16,0,0.000127,0.001597,0.000423,0.000956,0.000719,0.000609,0.011502,0.000108,0.00049,0.000948,0,0.00043
"X9540",16,0,0.000236,0.001777,0.000397,0.000976,0.000693,0.000557,0.011089,0.000105,0.00047,0.000916,0,0.000419
"X9547",16,0,0.000342,0.000559,0.000378,0.000505,0.000433,0.000414,0.006931,1.9e-05,0.000393,0.000473,0,7.5e-05
"X9561",16,0,0.000375,0.000618,0.000433,0.000528,0.000483,0.00046,0.007733,1.8e-05,0.000446,0.000521,0,7e-05
"X9565",16,0,0.000197,0.001225,0.000324,0.000524,0.000465,0.000395,0.007438,6.1e-05,0.000335,0.000595,0,0.000244
"X9573",16,0,0.000274,0.000668,0.000375,0.000525,0.000456,0.000471,0.0073,2.9e-05,0.000394,0.000519,0,0.000117
"X9591",16,0,0.000284,0.001345,0.000369,0.000614,0.000536,0.000454,0.008578,6.8e-05,0.000392,0.00068,0,0.000271
"X9594",16,0,0.000224,0.000544,3e-04,0.000427,0.000357,0.000339,0.005713,2.3e-05,0.000308,0.000406,0,9.2e-05
"X9596",16,0,0.000197,0.000537,0.000289,0.000393,0.000346,0.000328,0.005532,2.3e-05,0.000297,0.000394,0,9.1e-05
"X9602",16,0,2e-04,0.00227,0.00041,0.000992,0.000774,0.000621,0.012392,0.000133,0.000491,0.001058,0,0.000533
"X9620",16,0,0.000252,0.000868,0.000351,0.000655,0.000538,0.000569,0.008605,5e-05,0.00043,0.000645,0,0.000202
"X9622",16,0,0.000364,0.000828,0.000531,0.000706,0.000603,6e-04,0.009641,3.4e-05,0.00053,0.000675,0,0.000137
"X9624",16,0,0.000347,0.00072,0.000423,0.000555,0.00052,0.000502,0.008318,2.8e-05,0.00046,0.000579,0,0.000112
"X9639",16,0,0.000409,0.001073,0.000527,0.000849,0.000714,0.00071,0.011417,5.1e-05,0.000606,0.000821,0,0.000202
"X9659",16,0,0.000162,0.000484,0.000259,0.000365,0.000311,0.000304,0.004973,2.2e-05,0.000264,0.000358,0,8.8e-05
"X9666",16,0,0.000268,0.001138,0.000512,0.000858,0.000691,0.000668,0.01106,6.3e-05,0.000557,0.000825,0,0.000251
"X9688",16,0,0.000342,0.00067,0.000439,0.000507,0.000486,0.00049,0.007779,2.3e-05,0.000437,0.000535,0,9.2e-05
"X9696",16,0,0.000102,0.000461,0.000308,0.00037,0.000324,0.000318,0.005179,2e-05,0.000281,0.000367,0,8.1e-05
"X9698",16,0,0.000286,0.000692,0.000374,0.000625,0.000499,0.000506,0.007986,3.4e-05,0.000427,0.000572,0,0.000136
"X9699",16,0,0.000328,0.000824,0.000439,0.000591,0.000509,0.000505,0.008137,3.2e-05,0.000441,0.000576,0,0.000126
"X9707",16,0,0.000333,0.000669,0.000409,0.000513,0.000468,0.000471,0.007482,2.2e-05,0.000421,0.000514,0,8.8e-05
"X9716",16,0,0.000291,0.001167,0.000373,0.000643,0.000559,0.000499,0.008948,6.6e-05,0.000418,0.000701,0,0.000265
"X9720",16,0,0.00036,0.000787,0.000537,0.000695,0.000598,0.000607,0.009562,3.3e-05,0.000528,0.000667,0,0.00013
"X9722",16,0,0.000427,0.000729,0.000482,0.000593,0.000536,0.000512,0.008584,2e-05,0.000494,0.000579,0,8e-05
"X9733",16,0,5e-06,0.000161,0.000105,0.000137,0.000119,0.000132,0.001902,9e-06,1e-04,0.000138,0,3.6e-05
"X9741",16,0,8e-06,0.002156,0.000275,0.001035,0.000717,0.000474,0.011471,0.000157,0.000383,0.001051,0,0.000626
"X9780",16,0,3.9e-05,0.000548,0.000121,0.000238,0.000196,0.000133,0.003142,3.5e-05,0.000122,0.000271,0,0.00014
"X9781",16,0,8e-05,0.000656,0.000181,0.000311,0.000267,0.00025,0.004273,3.5e-05,0.000192,0.000342,0,0.000141
"X9791",16,0,8.4e-05,0.006256,0.00012,0.000512,0.000815,0.000206,0.01304,0.000397,-3.1e-05,0.001661,3e-06,0.001587
"X9800",16,0,1.7e-05,0.000942,0.000367,0.000541,0.000459,0.000416,0.007343,5.5e-05,0.000342,0.000576,0,0.000219
"X9809",16,0,0.000546,0.001384,0.000662,0.001117,0.000917,0.000889,0.014667,7.4e-05,0.000759,0.001074,0,0.000296
"X9810",16,0,0.000669,0.002299,0.000978,0.001649,0.001325,0.001234,0.021193,0.000112,0.001086,0.001563,0,0.000448
