"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X13707",16,0,0.000404,0.000924,0.000484,0.00079,0.000643,0.000618,0.010281,4.6e-05,0.000545,0.00074,0,0.000183
"X13720",16,0,9.6e-05,0.000721,0.000263,0.000636,0.000415,0.000356,0.006637,5.2e-05,0.000304,0.000525,0,0.000207
"X13734",16,0,0.000196,0.00059,0.000372,0.00052,0.000429,0.00043,0.006858,2.7e-05,0.000372,0.000486,0,0.000107
"X13740",16,0,0.000292,0.000632,0.000357,0.000399,0.000396,0.000366,0.006338,2.2e-05,0.00035,0.000442,0,8.7e-05
"X13744",16,0,4.1e-05,0.002025,0.000394,0.000616,0.000673,0.000553,0.010772,0.000133,0.000391,0.000956,0,0.000531
"X13747",16,0,0.000156,0.000494,2e-04,0.000403,3e-04,0.000279,0.004805,2.9e-05,0.000238,0.000363,0,0.000117
"X13750",16,0,4e-05,0.001145,6.9e-05,0.000585,0.000343,0.000134,0.005484,8.6e-05,0.00016,0.000526,0,0.000344
"X13753",16,0,0.000311,0.000532,0.000387,0.00049,0.000427,0.000411,0.006837,1.7e-05,0.00039,0.000464,0,6.9e-05
"X13757",16,0,0.000282,0.000547,0.00041,0.00048,0.00044,0.000442,0.007041,1.6e-05,0.000405,0.000475,0,6.5e-05
"X13768",16,0,3.5e-05,0.001728,0.000143,0.000692,0.000482,0.000426,0.00771,0.000109,0.000249,0.000714,0,0.000436
"X13773",16,0,0.000194,0.002432,0.000393,0.00071,0.000651,0.000512,0.010419,0.000133,0.000367,0.000935,0,0.000533
"X13778",16,0,7.2e-05,0.006319,0.000397,0.00176,0.00138,0.000915,0.022079,0.000374,0.000582,0.002178,2e-06,0.001497
"X13797",16,0,0.000238,0.000776,0.000291,0.000436,0.000399,0.000387,0.006384,3.3e-05,0.000328,0.00047,0,0.000134
"X13798",16,0,0.000449,0.000965,0.000529,0.00069,0.000631,0.000587,0.010099,3.9e-05,0.000548,0.000715,0,0.000157
"X13832",16,0,0.000135,0.001174,0.000295,0.00043,0.000396,0.000342,0.006334,6e-05,0.000269,0.000523,0,0.000239
"X13833",16,0,2e-05,0.000466,0.000248,0.000361,0.000302,0.000292,0.004826,2.7e-05,0.000244,0.000359,0,0.000108
"X13868",16,0,3.8e-05,0.000854,0.000302,0.000632,0.00048,0.00044,0.007682,5.8e-05,0.000356,0.000604,0,0.000232
"X13870",16,0,2e-05,0.001789,0.000292,0.000486,0.000484,0.000389,0.007737,0.000104,0.000261,0.000706,0,0.000417
"X13874",16,0,7e-06,2.5e-05,9e-06,1.5e-05,1.2e-05,1.1e-05,0.000197,1e-06,1e-05,1.5e-05,0,5e-06
"X13885",16,0,0.000241,0.000721,0.000286,0.000388,0.00035,0.000318,0.0056,2.9e-05,0.000289,0.000411,0,0.000114
"X13886",16,0,2e-04,0.000905,0.000321,0.000527,0.000446,0.000422,0.007129,4.6e-05,0.000348,0.000543,0,0.000182
"X13899",16,0,0.000252,0.000921,0.000439,0.000688,0.000558,0.000548,0.008932,4.2e-05,0.000469,0.000648,0,0.000168
"X13916",16,0,0.000274,0.000576,0.000329,0.000442,0.000393,0.000391,0.006284,2e-05,0.000349,0.000436,0,8.2e-05
"X13935",16,0,0.000468,0.000918,0.00051,0.00056,0.000555,0.000544,0.008887,2.6e-05,0.000501,0.00061,0,0.000102
"X13944",16,0,0.000299,0.010877,0.00059,0.001388,0.001699,0.000883,0.02719,0.000648,0.000319,0.00308,7e-06,0.002591
"X13946",16,0,0.000289,0.000618,0.000374,0.000534,0.000455,0.00046,0.007276,2.7e-05,0.000398,0.000512,0,0.000107
"X13951",16,0,5e-05,0.000472,7.6e-05,0.000155,0.000141,9.4e-05,0.002261,2.8e-05,8.1e-05,0.000202,0,0.000114
"X13958",16,0,0.000304,0.000686,0.000422,0.000577,0.000494,0.000491,0.007905,2.8e-05,0.000434,0.000554,0,0.000112
"X13959",16,0,9.9e-05,0.000867,0.000196,0.000451,0.000365,0.000287,0.005848,5.9e-05,0.000239,0.000492,0,0.000238
"X13961",16,0,0.000184,0.001003,0.000211,0.000409,0.000339,0.000274,0.005428,5.2e-05,0.000229,0.000449,0,0.000206
"X13962",16,0,8.9e-05,0.000913,0.000343,0.000629,0.000508,0.000565,0.008128,5.8e-05,0.000384,0.000632,0,0.000232
