"","giniImportance"
"X4099",0.00376470588235294
"X4103",0.0973892957769618
"X4104",0
"X4116",0.0101538461538462
"X4118",0
"X4119",0
"X4120",0
"X4128",0.00377777777777778
"X4143",0.00371428571428572
"X4146",0.00376470588235294
"X4156",0.00373333333333333
"X4166",0.0197968253968254
"X4178",0.2231504208852
"X4206",0
"X4211",0
"X4218",0.466785207364125
"X4219",0.0096
"X4224",0.00375
"X4227",0
"X4249",0
"X4252",0.141316666798298
"X4258",0
"X4259",0
"X4267",0
"X4270",0
"X4274",0.00656363636363637
"X4286",0
"X4298",0.298100357248945
"X4301",0.0483582467430022
"X4322",0.271106117107448
"X4324",0.423601016013336
"X4334",0
"X4342",0
"X4365",0.0145413744740533
"X4366",0.0110035087719298
"X4373",0.0104347826086956
"X4395",0.232343654576732
"X4406",0
"X4415",0.0283812442396313
"X4434",0
"X4448",0
"X4490",0.0858424178261746
"X4502",0
"X4504",0.310933179121005
"X4508",0
"X4510",0
"X4519",0
"X4526",0.00975
"X4533",0
"X4534",0.007
"X4546",0
"X4558",0
"X4565",0.00715789473684211
"X4566",0.0156218487394958
"X4568",0
"X4573",0
"X4587",0
"X4590",0.0951672853996323
"X4608",0.0115238095238095
"X4619",0.00822222222222222
"X4628",0
"X4632",0.0275809523809524
"X4649",0
"X4654",0.0038
"X4659",0
"X4667",0.0237714285714286
"X4683",0
"X4709",0.159833813509455
"X4711",0.00369230769230769
"X4717",0
"X4727",0.0159012727898177
"X4728",0
"X4732",0.0237571428571429
"X4750",0.0228166666666667
"X4753",0
"X4757",0.0128
"X4758",0.288210291270094
"X4763",0.014329575596817
"X4764",0
"X4771",0.00384615384615385
"X4775",0
"X4782",0.261933350621082
"X4791",0.168642544135342
"X4793",0
"X4797",0.0130909090909091
"X4800",0
"X4809",0
"X4822",0
"X4847",0.00610476190476191
"X4865",0
"X4871",0.0105090909090909
"X4873",0
"X4879",0.00375
"X4880",0.366675176115147
"X4883",0
"X4885",0.00693333333333333
"X4886",0
"X4887",0.0283243535095198
"X4891",0.268088623171728
"X4901",0
"X4912",0.00723809523809524
"X4917",0.604450966270403
"X4924",0.005
"X4945",0
"X4950",0
"X4963",0.00705882352941176
"X4968",0
"X4987",0.00377777777777778
"X4988",0.00571428571428571
"X5008",0
"X5010",0.0230984466513878
"X5011",0.0379378567378567
"X5020",0.218349367332681
"X5027",0.0323244444444444
"X5032",0.00755
"X5037",0
"X5042",0.0375784337366487
"X5051",0.0231185185185185
"X5069",0
"X5071",0.00729824561403509
"X5084",0.0835627723050943
"X5101",0.0116666666666667
"X5111",0.00371428571428572
"X5121",0.393150720856642
"X5136",0.196268255694197
"X5137",0
"X5143",0
"X5144",0.0096
"X5145",0
"X5146",0
"X5168",0
"X5175",0.10007760269138
"X5194",0
"X5203",0
"X5209",0
"X5212",0.0420706311232627
"X5213",0.365549265160973
"X5225",0
"X5226",0.0113881422924901
"X5238",0
"X5240",0
"X5245",0.357551518885044
"X5250",0
"X5251",0.00533333333333333
"X5254",0.01055
"X5255",0
"X5258",0.007
"X5259",0.0038
"X5265",0
"X5276",0
"X5277",0
"X5281",0.00376470588235294
"X5285",0.157228480480766
"X5292",0.0174047619047619
"X5296",0
"X5300",0.00382608695652174
"X5301",0
"X5309",0.0106410912190963
"X5325",0.0035
"X5346",0.248479068533179
