"","p-value"
"X1284",0.751428193251917
"X1285",0.740138893338387
"X1292",0.901610058952594
"X1298",0.756307221683266
"X1303",0.974279015254458
"X1320",0.451857567548461
"X1325",0.0463843716755766
"X1329",0.79172955167597
"X1332",0.931969201424234
"X1336",0.830795740847864
"X1348",1.18518298305119e-05
"X1349",0.73097531987391
"X1350",0.92235048224368
"X1364",0.915563179657923
"X1380",0.772686614357627
"X1386",0.911771950845589
"X1389",0.721782868242717
"X1410",0.699525238951571
"X1413",0.962803777708302
"X1415",0.803607721911535
"X1425",1.46060017769939e-165
"X1444",0.780240690495857
"X1445",0.858231202626901
"X1453",0.717804532822722
"X1475",0.897450524162309
"X1484",0.92050948286819
"X1506",0.841606639782597
"X1510",0.0117173377997106
"X1511",0.870794278354909
"X1513",3.35537608033595e-10
"X1514",0.889811293300679
"X1534",0.741255827835497
"X1557",0.854763144020113
"X1595",0.0807785921654352
"X1601",0.960153370164568
"X1607",0.447511373778568
"X1618",0.817366793069973
"X1649",0.145201355459293
"X1658",0.221147821394567
"X1694",0.595535169460381
"X1696",0.621299413869488
"X1739",0.800016834313245
"X1741",0.867367906816197
"X1774",0.449018338664663
"X1775",0.915358157586401
"X1776",0.883582359800772
"X1785",0.926549138031302
"X1800",0.787720326728194
"X1812",0.760111736763937
"X1813",0.908379761458798
"X1832",0.757227394595675
"X1836",0.112369320176056
"X1837",0.890654475156257
"X1847",0.0945864450122053
"X1862",0.718311773292596
"X1868",0.775808006791944
"X1870",0.888207737588411
"X1882",3.96155921566634e-05
"X1892",0.960111916528252
"X1893",0.902800749985234
"X1896",0.38361794410685
"X1898",0.828522580742924
"X1911",0.819128488547086
"X1921",0.907716190113907
"X1928",0.762525147231445
"X1942",0.903952273475599
"X1949",0.912706676163253
"X1951",0.85591017116481
"X1952",0.578109063271842
"X1955",0.96466107853264
"X1957",0.47384403079049
"X1959",0.695511979852044
"X1960",0.848528295496868
"X1964",0.75273049764507
"X1979",0.923420610055524
"X1991",0.904317360484448
"X2020",0.917852707393621
"X2027",0.819159229246171
"X2028",2.91713354652719e-52
"X2029",0.980738404844287
"X2035",4.14784334589876e-52
"X2078",0.832613848506205
"X2079",0.863871348186712
"X2086",0.91421196389745
"X2094",0.95747158279791
"X2095",0.828292489162237
"X2104",0.00250961874187265
"X2111",0.928550504808951
"X2116",0.77307767877164
"X2128",0.86637400030518
"X2133",0.972227649214396
"X2153",0.888136222130748
"X2154",0.921260546799913
"X2164",0.833853991645424
"X2183",0.632063373633537
"X2190",0.45846482690544
"X2194",0.89030123590504
"X2203",0.248628224624497
"X2205",0.722515250268478
"X2216",0.875214719934271
"X2222",0.724474777642662
"X2240",0.909318726639659
"X2248",0.908863798168151
"X2249",0.814298762877735
"X2257",0.681090836213838
"X2272",0.491055042671705
"X2273",0.452785694466653
"X2288",0.970427481743572
"X2291",0.931275133389978
"X2294",1.21142372080557e-134
"X2304",0.885925866962167
"X2306",0.924629684208323
"X2310",0.858691860029011
"X2322",0.913853909743234
"X2328",0.960022175674293
"X2331",0.928516600695679
"X2332",3.17326210205809e-131
"X2335",0.917645735860866
"X2339",0.858411210594616
"X2351",0.385886285985216
"X2365",0.895832153219387
"X2370",0.57633061662548
"X2371",1.91927750262166e-84
"X2374",0.936188997747797
"X2383",0.954564582547769
"X2393",0.35294594585955
"X2398",0.644860933375295
"X2403",0.836003388274209
"X2404",0.935345932919053
"X2411",0.777810324479971
"X2420",0.868628397490289
"X2427",0.470932282901313
"X2458",0.902879553325786
"X2470",1.98079812160109e-20
"X2474",0.873726765873662
"X2500",0.797782144759799
"X2505",0.811848883551563
"X2510",0.752744144113096
"X2519",0.816160533098804
"X2520",1.10561342268984e-28
"X2523",0.00422598394872999
"X2529",0.863928228706404
"X2532",6.53172606499633e-96
"X2546",0.938627311877254
"X2547",0.878031445168817
"X2554",3.55860832977666e-29
"X2578",0.448387262878217
"X2586",0.0582099699758428
"X2604",0.955922198690635
"X2611",0.571391096888094
"X2616",0.870836251709769
"X2622",5.94500915476154e-11
"X2627",0.82512999154783
"X2646",0.978531442480081
"X2650",0.622817446975591
"X2652",0.814307646604916
"X2654",0.36122746288031
"X2668",5.36953592988817e-19
"X2670",0.0120435391723061
"X2671",0.838739171045112
"X2704",0.951541732740174
"X2713",0.834954696158692
"X2716",6.01003067198683e-133
"X2731",0.852157033173136
"X2733",0.752509471682647
"X2742",0.900311386838187
"X2759",0.712995005103506
"X2763",0.835409059932034
"X2765",0.760769849316295
"X2769",0.902079925273204
"X2777",1.33352589280278e-05
"X2781",0.861954058119368
"X2785",0.688551786799463
"X2790",0.876459747046898
"X2793",3.00994853654021e-05
"X2813",0.932987814302612
"X2819",0.916796813437402
"X2821",0.940541071186234
"X2831",0.860709741404916
"X2836",0.71692229618441
"X2844",0.95549800175135
"X2848",0.770752171071874
"X2851",0.842097892572065
"X2852",0.909984135374085
"X2863",0.647574604501049
"X2867",0.742048594804672
"X2871",0.579312125075753
"X2875",0.888994320186272
"X2882",5.87934266032979e-27
"X2899",0.879681860685497
"X2903",0.759574395367192
"X2904",0.956725747679745
"X2907",0.929974958544759
"X2908",9.01036703370086e-05
"X2910",0.931081689319246
"X2921",0.854410874403512
