"","RSD"
"X5042",0.096514
"X5051",0.011875
"X5069",0.050101
"X5071",0.074393
"X5084",0.063085
"X5101",0.033656
"X5111",0.118628
"X5121",0.066421
"X5136",0.028639
"X5137",0.059209
"X5143",0.046639
"X5144",0.105319
"X5145",0.027931
"X5146",0.0226
"X5168",0.036278
"X5175",0.018654
"X5194",0.027289
"X5203",0.003861
"X5209",0.007621
"X5212",0.01729
"X5213",0.002136
"X5225",0.193989
"X5226",0.102011
"X5238",0.021568
"X5240",0.067746
"X5245",0.099927
"X5250",0.110238
"X5251",0.050595
"X5254",0.022474
"X5255",0.03024
"X5258",0.033465
"X5259",0.060399
"X5265",0.004153
"X5276",0.034608
"X5277",0.075018
"X5281",0.055229
"X5285",0.009986
"X5292",0.108212
"X5296",0.024683
"X5300",0.005708
"X5301",0.017038
"X5309",0.020397
"X5325",0.093822
"X5346",0.014553
"X5348",0.079134
"X5351",0.018036
"X5352",0.076321
"X5361",0.161861
"X5386",0.019312
"X5389",0.031193
"X5423",0.09729
"X5432",0.052434
"X5449",0.009457
"X5453",0.124042
"X5455",0.034612
"X5458",0.11658
"X5464",0.069643
"X5517",0.075592
"X5526",0.159156
"X5539",0.03802
"X5544",0.032524
"X5548",0.125246
"X5558",0.024352
"X5560",0.163736
"X5576",0.084446
"X5585",0.009112
"X5586",0.010318
"X5592",0.010438
"X5605",0.043147
"X5606",0.05672
"X5620",0.096654
"X5646",0.002692
"X5648",0.040333
"X5649",0.097661
"X5659",0.046953
"X5661",0.051969
"X5664",0.133185
"X5675",0.064811
"X5677",0.172164
"X5684",0.041001
"X5685",0.101584
"X5690",0.003514
"X5701",0.114526
"X5702",0.055094
"X5705",0.115883
"X5707",0.036772
"X5712",0.062195
"X5737",0.133545
"X5742",0.021915
"X5743",0.232797
"X5744",0.038078
"X5745",0.020177
"X5763",0.00803
"X5766",0.032284
"X5768",0.044457
"X5774",0.009611
"X5784",0.020218
"X5791",0.013721
"X5793",0.002603
"X5817",0.068411
"X5822",0.115106
"X5837",0.084584
"X5853",0.029164
"X5868",0.011273
"X5878",0.087508
"X5883",0.015871
"X5884",0.069755
"X5885",0.026183
"X5894",0.040867
"X5918",0.051918
"X5919",0.076339
"X5925",0.056421
"X5930",0.078894
"X5933",0.020698
"X5938",0.035148
"X5948",0.055629
"X5962",0.049708
"X5971",0.093373
"X5981",0.028928
"X5984",0.021337
"X5986",0.066137
"X5987",0.094724
"X5999",0.125659
"X6008",0.048323
"X6019",0.113361
"X6029",0.013645
"X6032",0.023508
"X6033",0.037007
"X6044",0.181678
"X6049",0.017216
"X6055",0.104741
"X6073",0.064975
"X6080",0.036622
"X6085",0.116702
"X6086",0.027432
"X6100",0.079401
"X6101",0.042102
"X6109",0.030207
"X6124",0.037045
"X6140",0.03579
"X6147",0.243506
"X6164",0.011583
"X6178",0.001529
"X6186",0.042898
"X6206",0.12839
"X6220",0.012243
"X6229",0.012637
"X6242",0.026533
"X6245",0.101887
"X6259",0.103785
"X6280",0.031085
"X6298",0.133024
"X6304",0.015753
"X6305",0.039163
