"V1" "V2"
"X662" 0.00411369041921214 0.100859587881338
"X663" -0.00364967910107103 -0.0731852697500656
"X673" -0.00968271729518846 -0.133136491124043
"X676" -0.0168577283812894 -0.313023031204138
"X691" -0.0146675883816975 -0.261673587234845
"X707" 0.00990839407144201 0.208629785832497
"X722" 2.78387988351494e-05 0.000569979655108846
"X725" -0.0284098391848845 -0.471661700883454
"X749" 0.0178091320801777 0.419032291063398
"X750" -0.00276309761734428 -0.0548891462685245
"X755" -0.00919106427367501 -0.22250245729653
"X766" 0.00648996740620053 0.20349024209684
"X804" -0.00668924040460895 -0.181896074464257
"X813" 0.00627230609667708 0.158433761456715
"X814" 0.0404116800644635 0.503280517937225
"X815" -0.0245832672125848 -0.462582578150303
"X844" 0.00153472576378438 0.0401345295941171
"X852" 0.0161588499144391 0.188240287612371
"X859" 0.00541565757962589 0.122671234069069
"X864" -0.00623826392171111 -0.120449596148704
"X867" 0.0236024502875796 0.736237497091912
"X868" 0.0111065438078885 0.351635097906611
"X887" -0.00402274814716624 -0.0925671397825792
"X890" -0.00925466090102205 -0.262820643019953
"X893" 0.00545420941417753 0.165700702484692
"X897" 0.000247615169593622 0.00619140489166841
"X902" 0.00407537753745715 0.118379570596189
"X913" -0.0304422038273911 -0.504391038338454
"X933" -0.0290750222415231 -0.70856112494381
"X945" -0.0145862777263296 -0.389078638755435
"X950" -0.0317638639869605 -0.412281628478314
"X968" 0.0103800305986651 0.190877198095716
"X969" -0.0330371570348657 -0.620343817714336
"X989" 0.0573355980691012 0.916292524861561
"X999" 0.00707609113914148 0.171854287554722
"X1000" 0.0467707761883075 0.729256286306445
"X1012" 0.0127221786189411 0.431806505936384
"X1029" -0.00624882144237601 -0.121685272518158
"X1041" -0.01011750921524 -0.25128685076955
"X1056" -0.00448058092829603 -0.128523084537085
"X1058" -0.0113512577588192 -0.270394832188852
"X1059" 0.0468730290838682 0.877616603733053
"X1060" -0.013823803239908 -0.419961263020141
"X1063" 0.00615009093080892 0.153026225510602
"X1073" -0.0517050046712979 -0.785917703779845
"X1075" -0.0281782373281189 -0.6642521527416
"X1077" -0.0472514955160167 -0.714210593569699
"X1079" -0.00725371154892978 -0.142381546654468
"X1084" 0.0323239437914765 0.745583187648719
"X1088" 0.00278470245915373 0.0799605844773716
"X1101" -0.0399709877039621 -0.484334538106907
"X1103" 0.0119334404160359 0.270032381495521
"X1113" -0.0204990963730856 -0.287495403159162
"X1117" 0.0254741063294627 0.702883292789784
"X1146" -0.0399609002942993 -0.686108071470282
"X1148" 0.00432730772370902 0.074224399407325
"X1151" 0.010877085885883 0.174098930477421
"X1152" 0.00411506200667337 0.108312873001171
"X1190" -0.0413432469731396 -0.659473412136433
"X1201" 0.000969818310657315 0.0257965117068206
"X1210" -0.00677351626336547 -0.21580476994599
"X1216" 0.000671113755253366 0.013885855256966
"X1236" 0.00813531862567611 0.187651111579308
"X1247" 0.0175199652333302 0.528533723095323
"X1256" 0.0171206902181428 0.329986564546632
"X1267" 0.00687778400495388 0.209430781060467
"X1268" -0.0190869161994269 -0.513037403245777
"X1278" 0.0131643122923067 0.206604662570256
"X1279" 0.00167216137710169 0.0218276412620453
"X1294" 0.00368446343136923 0.141468641777167
"X1295" -0.035862566917316 -0.652301014122379
"X1299" 0.0205488675682705 0.373431306094369
"X1300" 0.00757718005196731 0.251336457107675
"X1301" -0.0034963196221695 -0.0731142628444557
"X1302" -0.00186186653132627 -0.0473329314528892
"X1303" -0.000372643146536317 -0.00527524130059026
"X1311" -0.000257113583100435 -0.00835460716338253
"X1314" -0.0130568618197499 -0.0968208515819671
"X1330" 0.0148373157672687 0.51638649150374
"X1332" 0.00962887269181703 0.293835629387612
"X1338" -0.00531118260732813 -0.112770788503699
"X1339" -0.0420020762006709 -0.849273587340222
"X1356" -0.0185800408080602 -0.43519447942685
"X1377" 0.029770611291612 0.607427304454214
"X1393" -0.00109797765983759 -0.0233543149822698
"X1415" -0.0276735488586119 -0.571262512817348
"X1424" -0.0132063321214151 -0.353363611071097
"X1429" -0.00190186534628109 -0.0448271323395499
"X1458" -0.0338005920363589 -0.787601187870113
"X1465" 0.0627380428958656 0.911573606774314
"X1488" 0.0557919358470358 0.867579752424129
"X1489" -0.00405454458412073 -0.0662897285075779
"X1491" 0.00140664926111968 0.0277127427904854
"X1492" 0.00409224776859007 0.0852602420468078
"X1499" -0.0164720651321825 -0.231100311181408
"X1552" 0.0224748028113749 0.385739927697813
"X1558" 0.0124126048379285 0.197055377216926
"X1564" 0.00345679928754213 0.0945357531579253
"X1583" 0.0162286869340509 0.190167652706418
"X1584" 0.0295865187067088 0.622816525217284
"X1586" -0.0180738096625184 -0.468578394098002
"X1591" 0.00166908021856668 0.0597279526737126
"X1595" -0.0126739646701849 -0.173903070527064
"X1596" 0.0619016515366683 0.943600310516112
"X1626" 0.0205616806723327 0.431627735111826
"X1627" 0.00698948288784532 0.144929494978061
"X1639" -0.0131955940592671 -0.400396664198463
"X1648" -0.0221348682357051 -0.485723817459759
"X1657" -0.00487381135903209 -0.167366979407221
"X1659" -0.00622407906035417 -0.113772918449585
"X1666" 0.0353718304845475 0.667202504783038
"X1672" 0.00441625644806522 0.0717132878692756
"X1678" 0.0420735219341093 0.81554844938986
"X1694" -0.0185108747916654 -0.472099158407216
"X1701" 0.0308475589349676 0.707939125854796
"X1706" 0.00788457293515846 0.249563269784517
"X1711" -0.0197858885687199 -0.38504106551481
"X1715" 0.0123423883990069 0.297527048309406
"X1724" 0.0223395992375697 0.457157266119553
"X1737" 0.0119980832409813 0.259846019024491
"X1743" 0.00275250074151889 0.067857739967617
"X1748" -0.0335223436965277 -0.669020724516097
"X1749" -0.0416465587188342 -0.696223717723705
"X1752" -0.000606943433235882 -0.0163474254104111
"X1755" -0.00531050292773036 -0.114156654480441
"X1758" -0.0333989271197387 -0.795570708632129
"X1759" 0.0149989715104908 0.284097448006673
"X1760" -0.0328200084004889 -0.637248302171776
"X1761" -0.0239822260459477 -0.433073614958891
"X1762" -0.0387137555633344 -0.308165046653954
"X1766" 0.0290979986371013 0.220540981144882
"X1776" -0.00540924987179666 -0.104945945542804
"X1788" 0.00213303006809891 0.0506853919231323
"X1791" -0.0333352842746498 -0.508641147609979
"X1797" -0.0287054942001337 -0.621965492028134
"X1810" -0.00110951890777754 -0.0186723060594317
"X1820" -0.0155878599791528 -0.289194690236321
"X1835" 0.0158716886073434 0.448874898503482
"X1838" -0.0258071149751739 -0.322587809323994
"X1862" -0.0171469035228146 -0.49110948340432
"X1867" -0.0257533745807793 -0.591778563432489
"X1868" -0.0287848548329857 -0.504463462863343
"X1876" 0.0202605560228248 0.279854098423803
"X1885" 0.0498401737087602 0.889670704306905
"X1888" 0.0107284474156517 0.225773188498268
"X1889" -0.0233690235029844 -0.588319203498317
"X1892" -0.00610576788402065 -0.0945118009137475
"X1895" 0.0558464043626921 0.858746081027741
"X1900" 0.00805674770940309 0.14590100567516
"X1904" -0.0146711451886902 -0.158602898251715
"X1909" 0.0165244404241451 0.563867423876872
"X1911" -0.0140807010981287 -0.447738706828662
"X1915" -0.0183484521393078 -0.32412293682143
"X1921" 0.016708600955703 0.607290811274293
"X1929" 0.0148921409588699 0.394497462363561
"X1933" 0.069280057831106 0.934456897967288
"X1948" -0.00423055374533452 -0.116434172315174
"X1949" 0.0320200464229259 0.402632509018265
"X1951" 0.029288247134605 0.683542979003706
"X1955" 0.019085355136336 0.679087606615232
"X1956" -0.0379783995079096 -0.781100301372705
"X1959" 0.00301691957012006 0.0290243281903847
"X1960" 0.0124892992895324 0.293623378049714
"X1973" -0.0169654880015613 -0.440522540137461
"X1983" 0.00408219357790852 0.117956466382616
"X1987" 0.00705617596117276 0.0937411198567066
"X1989" 0.0282989994009982 0.124062027369337
"X1992" -0.0178719866442619 -0.451779719885882
"X1993" 0.00837530355408808 0.177898660585634
"X2006" -0.0252550688580944 -0.497241331422782
