"","Comp 1","Comp 2"
"X2322",-0.0249312998808208,0.0238561835749704
"X2328",-0.000129544427271613,0.0116838952949754
"X2331",0.00396161762200137,0.00874459597018614
"X2332",-0.0433430195343339,0.017164362733976
"X2335",0.00329745767429054,0.0341450180166381
"X2339",-0.0118171234953988,-0.0209233819364796
"X2351",-0.0140424336752369,0.0113656838116301
"X2365",-0.0400660059152995,0.0179656457571707
"X2370",0.0110533998200248,-0.00680538182343371
"X2371",0.0522955858258913,0.00605762389118105
"X2374",0.00708749232504613,-0.0376572614763404
"X2383",-0.00400832853984504,0.00758780917703824
"X2393",-0.0178776646958817,-0.142632055230206
"X2398",0.0360243351280757,-0.0466480840199709
"X2403",0.00589506694175603,0.0304542025300025
"X2404",-0.0214160054814003,-0.00801918197377947
"X2411",-0.00544175565640169,-0.0141163690829198
"X2420",0.00224556809118637,0.0206831002266159
"X2427",-0.0035762844933016,0.0225698492506852
"X2458",-0.00359144269438827,0.00210485879734547
"X2470",0.00601261821541741,-0.0423637914420383
"X2474",0.0240457075742336,0.0432441019650681
"X2500",-0.00117386721955535,-0.000211516919493036
"X2505",0.00518977316272674,0.00346712314345859
"X2510",0.00175381440948631,0.00506185293869066
"X2519",-0.0145864963415323,0.0288123234211558
"X2520",0.0523409987534904,-0.0527786076459686
"X2523",-0.00755572053100148,-0.0288495225896557
"X2529",0.0154082054186838,-0.0197881322177815
"X2532",0.0413492740038436,0.0402334270173293
"X2546",0.015393278867357,0.00465158512275246
"X2547",-0.0289555104424532,-0.0660087747725124
"X2554",-0.0316238891095734,-0.00523433405366749
"X2578",-0.00337706364911275,0.0122928842208323
"X2586",0.0372524641425737,0.0328761351795217
"X2604",-0.00553942501735448,0.0200275705420436
"X2611",-0.000840845416588516,0.00051375596059864
"X2616",0.00310624607674272,0.000990453118247706
"X2622",0.0481044799122386,0.0487579758904578
"X2627",0.00805254921627851,0.0317599998233186
"X2646",-0.0139196898760728,-0.0126756588920848
"X2650",0.00965512134130512,0.00646374773380888
"X2652",-0.00400859522243618,0.0122040915487928
"X2654",0.034434420565675,-0.019184444064992
"X2668",0.00671245775045551,-0.0146803862040298
"X2670",0.00565110832910643,-0.0105359974641181
"X2671",-0.0137075647160506,-0.0188554108229954
"X2704",0.0216160936212384,-0.037260230212408
"X2713",-0.0169864132688415,-0.00292687096684224
"X2716",0.0559170791842177,0.0261277699824569
"X2731",0.0143581016725041,-0.0159934278051685
"X2733",0.00638635704540057,0.0100472483008989
"X2742",0.0225207500897939,-0.0102277031295296
"X2759",0.0150830911201126,0.0051990640687831
"X2763",0.0530360755622668,0.0448928010969145
"X2765",0.009272859086737,0.0331536797030162
"X2769",-0.00982278921179929,-0.00148723373158993
"X2777",-0.0399474865335585,-0.0147157933592657
"X2781",-0.0144040039272128,-0.00524741800574014
"X2785",-0.00672972681453409,0.00702886532585835
"X2790",-0.000567196233085907,0.0353555796196604
"X2793",-0.0241291039957403,-0.00143856890177282
"X2813",-0.000678590829130579,0.019182887632124
"X2819",0.00375296720919759,0.0132607256220031
"X2821",-0.000472616911213511,-0.0143463145988464
"X2831",-0.0176682692571105,0.0233020640702848
"X2836",-0.00341782771115589,0.0114844620349117
"X2844",-0.00574258365764496,-0.0242796724781811
"X2848",0.00323119943475442,0.0195468306172928
"X2851",0.0171848507124702,-0.0191908153397402
"X2852",0.00358117917102781,0.0378244117223179
"X2863",-0.00221545482331406,0.0120335668740153
"X2867",-0.0232290323753813,0.00147755782691865
"X2871",-0.00232914306317089,-0.00444696899572286
"X2875",0.00123190076137022,0.00414613763164794
"X2882",0.0488262424051116,0.00490342554012166
"X2899",0.00641293686016168,0.0178744275854966
"X2903",0.000410423739403173,-0.00427431734277818
"X2904",-0.0128693884501755,-0.00719300374033561
"X2907",0.0108650291682787,0.00716696803921182
"X2908",-0.0304891116132617,-0.00256845929751789
"X2910",0.0071933320113556,0.0099759845624429
"X2921",0.0142735322092774,0.0202406371608663
"X2927",-0.000184358928200322,0.0144317088445028
"X2928",-0.0152980662339685,0.0105743097408806
"X2937",0.00688682658172588,0.00859524401630252
"X2941",0.00439022503012886,0.0171665787451533
"X2945",-0.00460200103019413,-0.0039721988830964
"X2948",-0.00810417385729454,0.00893261310936611
"X2971",0.0451482897257754,-0.0879354253218164
"X2977",0.00344357470379754,0.0142935741535357
"X3009",0.018508634036079,0.00333394848640031
"X3014",0.0063837901083072,0.0231297083555312
"X3015",0.0150012180131687,-0.00290388084624489
"X3017",-0.00911837966268051,0.0183170017414337
"X3037",-0.0262434209304458,0.0319354975646434
"X3044",0.0132337737539795,-0.00828586475630374
"X3050",-0.0257295195217229,0.0363768504625434
"X3052",0.0183386822436759,-0.0240839880539275
"X3055",0.0195124107479,0.00783658288850739
"X3067",-0.00248669611850736,0.00679601251878487
"X3074",0.0360355766552926,0.0299749887718562
"X3089",-0.0321264715616731,-0.0185820050132074
