"","AUC"
"X4917",0.527777777777778
"X4924",0.70679012345679
"X4945",0.990740740740741
"X4950",0.712962962962963
"X4963",0.604938271604938
"X4968",0.515432098765432
"X4987",0.87037037037037
"X4988",0.919753086419753
"X5008",0.845679012345679
"X5010",0.981481481481482
"X5011",0.574074074074074
"X5020",0.790123456790123
"X5027",0.962962962962963
"X5032",0.885802469135802
"X5037",0.530864197530864
"X5042",0.524691358024691
"X5051",0.959876543209877
"X5069",0.635802469135803
"X5071",1
"X5084",0.990740740740741
"X5101",0.641975308641975
"X5111",0.503086419753086
"X5121",0.515432098765432
"X5136",1
"X5137",0.648148148148148
"X5143",0.70679012345679
"X5144",0.675925925925926
"X5145",0.802469135802469
"X5146",0.753086419753086
"X5168",0.549382716049383
"X5175",1
"X5194",0.675925925925926
"X5203",0.731481481481482
"X5209",0.54320987654321
"X5212",0.688271604938272
"X5213",0.842592592592593
"X5225",0.796296296296296
"X5226",0.682098765432099
"X5238",0.756172839506173
"X5240",0.814814814814815
"X5245",1
"X5250",0.833333333333333
"X5251",0.851851851851852
"X5254",0.521604938271605
"X5255",0.521604938271605
"X5258",0.651234567901235
"X5259",0.845679012345679
"X5265",0.549382716049383
"X5276",0.570987654320988
"X5277",0.839506172839506
"X5281",0.533950617283951
"X5285",1
"X5292",0.518518518518518
"X5296",0.876543209876543
"X5300",0.555555555555556
"X5301",0.595679012345679
"X5309",0.910493827160494
"X5325",0.932098765432099
"X5346",1
"X5348",1
"X5351",0.814814814814815
"X5352",0.527777777777778
"X5361",0.799382716049383
"X5386",1
"X5389",0.910493827160494
"X5423",0.935185185185185
"X5432",0.595679012345679
"X5449",0.555555555555556
"X5453",0.740740740740741
"X5455",0.959876543209877
"X5458",0.654320987654321
"X5464",1
"X5517",1
"X5526",0.888888888888889
"X5539",0.858024691358025
"X5544",0.552469135802469
"X5548",0.527777777777778
"X5558",0.58641975308642
"X5560",0.574074074074074
"X5576",0.787037037037037
"X5585",0.962962962962963
"X5586",0.87962962962963
"X5592",0.530864197530864
"X5605",0.651234567901235
"X5606",0.830246913580247
"X5620",0.697530864197531
"X5646",0.595679012345679
"X5648",0.583333333333333
"X5649",0.540123456790124
"X5659",0.771604938271605
"X5661",0.996913580246914
"X5664",0.66358024691358
"X5675",0.506172839506173
"X5677",0.583333333333333
"X5684",0.660493827160494
"X5685",0.854938271604938
"X5690",0.703703703703704
"X5701",0.592592592592593
"X5702",0.709876543209876
"X5705",0.595679012345679
"X5707",0.512345679012346
"X5712",0.842592592592593
"X5737",0.521604938271605
"X5742",0.780864197530864
"X5743",0.716049382716049
"X5744",0.87962962962963
"X5745",0.712962962962963
"X5763",1
"X5766",1
"X5768",0.996913580246914
"X5774",0.839506172839506
"X5784",0.682098765432099
"X5791",0.891975308641975
"X5793",0.993827160493827
"X5817",0.651234567901235
"X5822",0.617283950617284
"X5837",0.805555555555556
"X5853",0.907407407407407
"X5868",0.601851851851852
"X5878",0.567901234567901
"X5883",0.570987654320988
"X5884",1
"X5885",0.580246913580247
"X5894",0.993827160493827
"X5918",0.929012345679012
"X5919",0.626543209876543
"X5925",0.524691358024691
"X5930",0.638888888888889
"X5933",0.512345679012346
"X5938",0.993827160493827
"X5948",0.577160493827161
"X5962",0.888888888888889
"X5971",0.79320987654321
"X5981",0.938271604938272
"X5984",0.947530864197531
"X5986",0.70679012345679
"X5987",0.611111111111111
"X5999",0.842592592592593
"X6008",0.765432098765432
"X6019",0.530864197530864
"X6029",0.598765432098765
"X6032",0.864197530864198
"X6033",0.765432098765432
"X6044",0.725308641975309
"X6049",0.660493827160494
"X6055",0.654320987654321
"X6073",0.861111111111111
"X6080",0.820987654320988
"X6085",0.697530864197531
