"","AUC"
"X5933",0.61328125
"X5938",0.73046875
"X5948",0.59375
"X5962",0.625
"X5971",0.55859375
"X5981",0.5
"X5984",0.59765625
"X5986",0.51171875
"X5987",0.6484375
"X5999",0.640625
"X6008",0.69921875
"X6019",0.53515625
"X6029",0.578125
"X6032",0.65234375
"X6033",0.68359375
"X6044",0.6171875
"X6049",0.53515625
"X6055",0.7734375
"X6073",0.6015625
"X6080",0.625
"X6085",0.66015625
"X6086",0.57421875
"X6100",0.52734375
"X6101",0.515625
"X6109",0.60546875
"X6124",0.61328125
"X6140",0.52734375
"X6147",0.50390625
"X6164",0.51953125
"X6178",0.765625
"X6186",0.69921875
"X6206",0.671875
"X6220",0.609375
"X6229",0.5625
"X6242",0.53515625
"X6245",0.640625
"X6259",0.56640625
"X6280",0.53125
"X6298",0.63671875
"X6304",0.60546875
"X6305",0.7109375
"X6313",0.68359375
"X6316",0.515625
"X6322",0.66796875
"X6337",0.6484375
"X6340",0.68359375
"X6343",0.55859375
"X6374",0.6875
"X6378",0.65625
"X6387",0.5546875
"X6403",0.53125
"X6415",0.671875
"X6432",0.57421875
"X6438",0.5390625
"X6441",0.984375
"X6444",0.58984375
"X6450",0.55078125
"X6456",0.56640625
"X6469",0.51171875
"X6475",0.50390625
"X6488",0.5703125
"X6489",0.63671875
"X6494",0.66796875
"X6516",0.62890625
"X6522",0.62890625
"X6530",0.52734375
"X6531",0.77734375
"X6539",0.578125
"X6565",0.59375
"X6581",0.58203125
"X6583",0.60546875
"X6592",0.5703125
"X6594",0.58984375
"X6600",0.51171875
"X6601",0.62890625
"X6607",0.53125
"X6614",0.51171875
"X6623",0.5546875
"X6624",0.6015625
"X6643",0.546875
"X6648",0.640625
"X6651",0.50390625
"X6658",0.55859375
"X6668",0.58203125
"X6679",0.56640625
"X6680",0.5703125
"X6698",0.55078125
"X6712",0.6875
"X6716",0.57421875
"X6726",0.55078125
"X6732",0.58203125
"X6758",0.6171875
"X6767",0.5625
"X6794",0.53125
"X6809",0.50390625
"X6818",0.67578125
"X6834",0.62890625
"X6838",0.61328125
"X6851",0.78125
"X6858",0.5546875
"X6863",0.5703125
"X6868",0.81640625
"X6877",0.578125
"X6878",0.578125
"X6890",0.67578125
"X6909",0.5078125
"X6911",0.51171875
"X6931",0.6328125
"X6949",0.6328125
"X6955",0.5625
"X6986",0.5
"X6995",0.5546875
"X7001",0.5546875
"X7009",0.7421875
"X7017",0.5546875
"X7020",0.5390625
"X7021",0.51953125
"X7056",0.5078125
"X7062",0.58203125
"X7063",0.671875
"X7064",0.6171875
"X7069",0.51171875
"X7081",0.609375
"X7091",0.640625
"X7097",0.5546875
"X7112",0.515625
"X7114",0.52734375
"X7162",0.7421875
"X7170",0.78125
"X7171",0.6875
"X7189",0.6015625
"X7190",0.6015625
"X7204",0.515625
"X7220",0.640625
"X7247",0.65234375
"X7251",0.53125
"X7315",0.5546875
"X7319",0.58203125
"X7326",0.546875
"X7328",0.6640625
"X7342",0.65625
"X7352",0.6328125
"X7365",0.65234375
"X7373",0.6640625
"X7380",0.5703125
"X7408",0.5703125
"X7409",0.59375
"X7410",0.5625
"X7413",0.68359375
"X7429",0.5625
"X7458",0.515625
"X7468",0.58203125
"X7470",0.56640625
"X7475",0.68359375
"X7485",0.91015625
"X7499",0.55078125
"X7500",0.55859375
"X7503",0.609375
"X7505",0.5546875
"X7510",0.58203125
"X7518",0.59375
"X7522",0.55859375
"X7524",0.515625
"X7541",0.546875
"X7551",0.609375
"X7571",0.53515625
"X7576",0.62890625
"X7582",0.6796875
"X7590",0.63671875
"X7591",0.6796875
"X7592",0.7421875
"X7595",0.66015625
"X7604",0.734375
"X7608",0.6328125
