"","AUC"
"X1190",0.868055555555556
"X1201",0.513888888888889
"X1210",0.704861111111111
"X1216",0.670138888888889
"X1236",0.607638888888889
"X1247",0.565972222222222
"X1256",0.604166666666667
"X1267",0.576388888888889
"X1268",0.746527777777778
"X1278",0.611111111111111
"X1279",0.520833333333333
"X1294",0.604166666666667
"X1295",0.847222222222222
"X1299",0.708333333333333
"X1300",0.513888888888889
"X1301",0.555555555555556
"X1302",0.538194444444444
"X1303",0.524305555555556
"X1311",0.53125
"X1314",0.583333333333333
"X1330",0.684027777777778
"X1332",0.503472222222222
"X1338",0.524305555555556
"X1339",0.996527777777778
"X1356",0.857638888888889
"X1377",0.569444444444444
"X1393",0.527777777777778
"X1415",0.704861111111111
"X1424",0.510416666666667
"X1429",0.517361111111111
"X1458",0.961805555555556
"X1465",0.784722222222222
"X1488",0.697916666666667
"X1489",0.538194444444444
"X1491",0.583333333333333
"X1492",0.513888888888889
"X1499",0.725694444444444
"X1552",0.635416666666667
"X1558",0.534722222222222
"X1564",0.621527777777778
"X1583",0.548611111111111
"X1584",0.538194444444444
"X1586",0.725694444444444
"X1591",0.513888888888889
"X1595",0.576388888888889
"X1596",0.954861111111111
"X1626",0.770833333333333
"X1627",0.597222222222222
"X1639",0.802083333333333
"X1648",0.607638888888889
"X1657",0.555555555555556
"X1659",0.524305555555556
"X1666",0.777777777777778
"X1672",0.625
"X1678",0.774305555555556
"X1694",0.725694444444444
"X1701",0.652777777777778
"X1706",0.663194444444444
"X1711",0.510416666666667
"X1715",0.5625
"X1724",0.666666666666667
"X1737",0.552083333333333
"X1743",0.645833333333333
"X1748",0.84375
"X1749",0.979166666666667
"X1752",0.548611111111111
"X1755",0.638888888888889
"X1758",0.961805555555556
"X1759",0.732638888888889
"X1760",0.934027777777778
"X1761",0.739583333333333
"X1762",0.670138888888889
"X1766",0.53125
"X1776",0.711805555555556
"X1788",0.510416666666667
"X1791",0.805555555555556
"X1797",0.791666666666667
"X1810",0.524305555555556
"X1820",0.590277777777778
"X1835",0.690972222222222
"X1838",0.545138888888889
"X1862",0.663194444444444
"X1867",0.767361111111111
"X1868",0.510416666666667
"X1876",0.548611111111111
"X1885",0.729166666666667
"X1888",0.506944444444444
"X1889",0.854166666666667
"X1892",0.552083333333333
"X1895",1
"X1900",0.569444444444444
"X1904",0.680555555555556
"X1909",0.645833333333333
"X1911",0.579861111111111
"X1915",0.579861111111111
"X1921",0.628472222222222
"X1929",0.788194444444444
"X1933",0.895833333333333
"X1948",0.552083333333333
"X1949",0.746527777777778
"X1951",0.690972222222222
"X1955",0.729166666666667
"X1956",0.986111111111111
"X1959",0.579861111111111
"X1960",0.572916666666667
"X1973",0.559027777777778
"X1983",0.621527777777778
"X1987",0.628472222222222
"X1989",0.642361111111111
"X1992",0.513888888888889
"X1993",0.725694444444444
"X2006",0.704861111111111
"X2007",0.618055555555556
"X2024",0.534722222222222
"X2026",0.552083333333333
"X2031",0.71875
"X2032",0.625
"X2037",0.895833333333333
"X2042",0.666666666666667
"X2052",0.611111111111111
"X2054",0.652777777777778
"X2060",0.618055555555556
"X2069",0.677083333333333
"X2083",0.614583333333333
"X2086",0.565972222222222
"X2126",0.909722222222222
"X2131",0.878472222222222
"X2148",0.71875
"X2153",0.513888888888889
"X2176",0.840277777777778
"X2180",0.559027777777778
"X2196",0.583333333333333
"X2200",0.569444444444444
"X2205",0.5625
"X2209",0.559027777777778
"X2212",0.572916666666667
"X2222",1
"X2226",0.621527777777778
"X2232",0.878472222222222
"X2238",0.520833333333333
"X2252",1
"X2253",0.5625
"X2258",0.635416666666667
"X2259",0.9375
"X2280",0.864583333333333
"X2289",0.96875
"X2291",0.909722222222222
"X2298",0.53125
"X2299",0.635416666666667
"X2309",0.659722222222222
"X2312",0.670138888888889
