"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68"
"C15",-0.404597803210377,-0.174655601980677,0.0871109663455543,0.0597661631360252,-0.104572148036464,0.0632808979857982,0.0321741262798606,-0.0265506369960872,0.00466809475849023,-0.0231578964320924,-0.00673975759380169,0.0772800308780305,-0.0851512417119984,0.0649404269540686,0.14205270431047,-0.0500309038056144,0.143558247853111,0.0479260249533614,0.0665203001590205,0.0793548568485878,0.0311493122743353,0.117040121469887,0.000305632275215859,-0.0287051187493185,0.00409161354206756,0.0799774187550239,-0.0652655811502913,-0.118226417988216,-0.0210519567091458,0.0388561418751832,-0.138065864198127,-0.0355735968028415,-0.0681332696581585,-0.0765559281344608,-0.14143122388081,-0.0130814571952123,0.1093691223987,-0.0384568582119509,0.0041768715672662,0.111132252971497,0.0291412651827759,-0.0591538160890053,-0.0064810201953773,0.0467937665574946,-0.0431357806654061,0.00909278954854941,-0.0249449134149023,-0.0141484640550324,-0.00648381200729747,-0.0114757935289941,0.0258252491535188,-0.0913462189854159,0.0140932081899439,0.00349873860264681,-0.0259780684086771,-0.0213443618772142,0.0220572074984564,0.0583468382708315,0.00888333147379877,0.00639608276998171,-0.0252076388162185,-0.0195128119972642,0.0267045536398043,-0.0136593389170595,0.00678820248557114,-0.00952473274695593,0.00850920385423854,5.75638034417889e-14
"B08",-0.151446520880314,0.00222295171309707,-0.0620467488469829,-0.0732061835409904,-0.128289021951872,0.0216189705694397,0.0712086240438145,-0.102879877130616,-0.0137086183254267,-0.032756868302476,0.0817986862096892,0.0489234760775385,-0.0956301711232268,0.0253117634473125,0.066441599345854,0.102753394951868,0.0417037568253346,-0.119998303526623,-0.00673320724888969,-0.0980931326739009,0.0398293900172884,-0.0708195100084126,-0.121445443353549,0.0131062532232542,-0.142403290627745,-0.0376489025614749,0.00756019871551607,-0.0333456733290439,-0.0199952599225063,-0.0118115396421888,0.00920578737304811,-0.010699160404,-0.115928916052704,0.0520799258308048,-0.0033751161313488,-0.0108454367104057,-0.00568058340640899,-0.0502509819011457,0.00404580162948743,-0.0178406014536688,-0.0228712731017239,0.0164587674074523,0.00269369267609202,-0.0581556927048554,-0.0130140643633768,0.0724306574270233,-0.0847057270332606,-0.0271835003720471,0.0372969559241179,0.000133869739822004,0.0177287050097474,-0.0022469535751967,0.0268597738213223,0.0133396706643745,-0.008261359665913,-0.00414482694202739,-0.0023995548571376,-0.0544208383434677,0.026097197490079,0.0100507476150546,0.0435634496507317,-0.00296993897007621,-0.0472595905387426,-0.0809471898809205,0.0271308151475585,-0.0442187113592662,-0.114341385708489,5.7614706733787e-14
"A08",0.193513503330395,-0.0655499092869899,-0.0819315232885878,-0.0942764718730592,-0.142068055459148,0.013634211125152,0.0125214165731734,-0.0757569878721029,0.0400576255594508,-0.0291227587846174,0.0431183418445135,0.0707668831168673,-0.07438446062685,0.0250055983624076,0.0195121038985039,0.14739172371377,0.0615419391609389,-0.108934921606297,-0.0290183377658986,-0.0838504168686768,0.0150334020219075,-0.0339839383187672,-0.0839825466870013,0.024029166173638,-0.0739785812147689,0.0348627500932722,0.0378014978359477,-0.0809840041443938,0.0397767983606555,0.0407580056931077,0.0257720175172918,-0.045761436833101,-0.0443492395869755,0.0820086825455525,0.0114040812169585,-0.0392836188091168,-0.0226291462127109,0.0753724521722107,0.0239053804742507,-0.0268979681586374,-0.00533974056392744,-0.0248810126572885,-0.016110963628384,-0.052297046477613,0.0363293039031524,0.0107901441594454,0.0779900400420311,-0.00095850887665529,0.0153687373153175,-0.0692807884969398,0.0732310792901108,-0.022007863044451,0.0543214277186028,-0.00925736393744685,0.0102227851208535,0.0435033883045926,-0.014849707941226,0.0221936032472481,0.0611507848441554,-0.0882097458099794,-0.0680809741772758,0.0462819770200202,0.03700918757278,0.0289363254720522,-0.0189394098119464,0.0183673915384866,0.0898133531639591,5.75550214041917e-14
"D05",0.178711889406886,-0.151965074367961,-0.0308237285318741,-0.217960796958885,-0.0604647355737842,0.0219452849044421,-0.00332080327048246,0.0658261990067592,-0.0930662509600623,-0.117574543624678,0.00543940442530491,0.0188186340492822,0.0110253531229012,0.0133578422749772,0.00397915292830105,0.105780083166081,-0.0826179905003137,0.0647442389522836,0.0299356102465043,-0.0481770427021185,0.00610455637669431,0.104514346823595,-0.0431941090372023,0.0469959210444131,0.0765237237242128,0.00391166878442235,0.146281653082964,0.0339073024896292,0.0333144536212027,0.0630383105849037,-0.0208809855163633,-0.036585887326119,-0.0353280523639555,-0.0260232924791716,-0.00731227188247628,0.0509984498529785,-0.0922191629417407,-0.0862277882961969,-0.0138155495859269,0.068617796222823,0.0423681516185467,-0.0393497740220466,0.108064551855097,-0.0169114286650352,0.0495102062216059,0.00718667897042624,-0.00293610556476362,-0.0333965932141145,0.0209264315943397,-0.000384845523365115,-0.0687626780361492,-0.0336715274913549,0.0286838868501194,-0.110403615597659,-0.00649764139068276,0.0662056888224381,-0.0372329746767762,0.0305126827225913,0.00897504499763251,0.0362179565063069,0.0935468867218794,0.0109581312407686,0.00782676701623727,0.0319835105127003,0.00867754343604619,0.0124374453839205,0.00829796634450998,5.7619653406199e-14
"D13",0.22594475542829,0.150985720057356,0.0833308990846171,-0.302173521059512,0.00705342808183244,0.061638353545526,-0.0177556999469318,0.154452332372217,0.0953153347685874,-0.0137839214544027,-0.0934393110519477,-0.117803962874208,-0.0969443546833895,0.0766517830010863,-0.00303153104385408,0.0161349879565007,0.0302637310542106,-0.0727376338883606,0.0917353985126361,0.0387011359845286,0.0608182781205266,-0.0813609933398439,0.119966779820697,0.0908579338435058,0.01294686467914,-0.0597409868020877,0.060303058115778,0.118342984471285,0.00346910816677172,-0.0239965037032189,-0.109888491704134,-0.085552745388202,0.0276405853742229,0.0404845212951971,-0.0479041404436064,-0.0680535314586104,-0.0134054816257582,-0.0607307860583876,-0.0208147887043001,-0.00100146381341531,0.0535054426949429,0.0122495910952082,0.0753287324338259,0.000386011646684556,-0.0218283719887638,-0.0315151859178744,0.0098687768356145,-0.0811188259844976,-0.0305198132542645,0.009043486496055,0.00749121692603658,-0.00152583791708051,0.0253257344631782,0.0483309613582111,-0.0716210646144632,-0.0516810583279293,0.0477114010780433,-0.0432924513488739,-0.0196072905656411,-0.0492400486954607,-0.0508232211165161,0.0159348979031516,-0.0394735815628817,0.0355613210276446,0.00708372620955666,-0.0260277875885158,-0.00156696878130475,5.75935309101057e-14
"A09",0.156668763200583,-0.340477227437857,0.0970230829715506,0.0462278773965053,-0.0254901659783102,-0.0206861144005447,0.147824417889801,0.021705084575396,0.253668941996398,0.0230914048468822,0.0385307069009036,0.103368436300642,-0.0742004493681741,0.0101189250530552,-0.105534390710802,0.0817266569040344,-0.102601733070042,-0.0363764951489922,0.0693452893300974,0.0845753693238117,0.0775789377217199,0.203136371328533,0.0321933836472338,0.040192706707357,0.0943813421874238,-0.0401883933371284,0.0684193972410216,-0.0102431513326217,-0.0093028915412971,-0.092566423426647,-0.0322251869632688,0.0667144612561487,0.0466227351564624,-0.0715161257102663,0.0464964961003655,-0.0333224478158817,0.085186971351803,-0.0289811587195665,-0.0389060477827411,-0.111009471420847,-0.0368613818954289,0.0235189209276358,-0.0259911778181413,-0.0541434890354452,0.0585407709428095,0.0409725379346711,-0.0482326910357627,-0.0346915231497579,0.0744623955022376,0.0189033820303652,0.0186262030134491,0.0395834502803976,0.039250938286302,-0.0073182096580924,0.0258113588029755,-0.00621450995915783,0.01548784093704,0.011217248295606,-0.0236121381162889,-0.0131621434584292,-0.0312662774608735,-0.0217972029189385,0.0235370487571228,-0.0209017350512183,-0.00841525463820296,0.00881073755442315,-0.00177405384283948,5.75125715010071e-14
"D03",0.248404518464366,0.0719673532070245,-0.0127421474495719,-0.0783827220293779,-0.189668590626422,0.0860149256649283,-0.0800398547370491,-9.4156775998812e-05,0.0156726421869023,-0.142186624466454,-0.13060910197657,0.143969780429225,0.0286269996412174,-0.0290122286201685,-0.018836353596819,0.0289644207200808,0.00947609874997673,0.0146553347202251,-0.00374165042787067,0.0290889555150012,-0.0467707478734359,-0.0855781951064427,0.1017691374661,-0.0881430235584118,0.0257188889143146,-0.079306123253191,-0.0437824942206855,0.102473023126383,0.0443243703818996,0.0531273591911332,-0.00683531333820811,0.0704499775925752,-0.0036988005058776,-0.139309463196467,-0.0245218336397324,-0.0860078326448196,-0.0161790466353618,0.0327073072417486,-0.0139074361475179,0.00348409343079842,0.0447820685530617,-0.107401473252075,-0.0973796145762953,-0.0178506593098013,-0.00735314429040413,-0.0245880188519257,-0.0629526606514744,0.0649758864871577,-0.0110924009958067,0.00203970352182936,0.0656969401240077,0.0618827103726786,0.0251334077855205,-0.0165727853764257,-0.0725689401344516,0.0905188749446569,0.00805655760093546,-0.0365472997198817,0.0363576308718657,0.00913747860552339,0.0217858103606257,-0.0162713287710597,0.00187607058502669,-0.0251713325408977,-0.00353464278009991,0.00229068602818528,0.00439345922138799,5.76023061714392e-14
"D12",0.234682891490229,-0.193521229186042,0.0755992303942025,-0.0618562781161165,-0.131521697649253,0.115273308144632,0.00201333330243672,-0.0281493643256307,-0.00828090064333037,-0.0632675936492579,-0.146209120177964,0.106598434918621,-0.117828176766864,0.044547508521326,-0.117439114064279,-0.126832448340923,0.0331779889784575,0.0946133079987574,-0.189846937154222,-0.176744062784465,0.00958428822845522,-0.0335585265905371,0.0753487334483463,0.0304577551200611,0.0444822583555824,-0.00455078816567411,-0.048088777363385,0.0492900836737665,0.00750306533390918,0.0295370127665894,0.00245507920812586,0.156363813960482,-0.0756971919721511,0.0225338640080536,-0.0161701174666504,0.0214640689617928,-0.0384928974450817,-0.0317887848726369,-0.0824697286556163,-0.0123593667924669,-0.0308051303348889,0.0816654209331574,0.0373488415230133,0.106016547769656,-0.0116834267049678,0.0615243748755483,0.0294309154690963,0.00326629108262226,-0.0105910638287744,-0.0549873316830541,-0.0298168517512567,0.0279030533682131,0.00571296967709569,0.00782765797694355,0.014006610485728,-0.0561654873986335,0.0150891934114824,0.058577220892515,0.030488981908211,-0.00848613637034006,-0.0205834012078053,0.0222714560492576,0.0120708013749562,-0.0161078438322669,-0.000259841691034997,-0.0193751030860584,-0.00742038217350744,5.75650739912097e-14
"A15",0.303737111003796,-0.184480818717498,-0.0387816628342768,0.0866741156431904,0.00192666664625342,0.0254808263044778,-0.0329329968981936,-0.0433030467228221,-0.00479905021650145,-0.0352753018508754,-0.0453336662787299,0.0714887599592691,-0.0928593212494743,-0.075392138728926,0.108074499226964,-0.0151289671892246,0.178759666519118,0.140786941244509,0.00991374226234293,0.096609656787732,0.0422297651721666,-0.0282254962885119,-0.0398744701160239,-0.00689819749691142,0.0311268496140071,-0.0534983924021013,0.0637027435095928,0.000634765331944093,0.0445414321206684,0.059257924480796,-0.021090518546948,-0.0354951601684971,-0.0126436393984952,-0.00866790656916748,-0.00123640772074697,-0.02551495710876,-0.00758510002307373,0.0458766016017868,-0.122683178156473,-0.0281084169775467,-0.0176098885093861,0.049226251810095,0.0210257220076267,-0.085839028697485,-0.089178377012773,-0.0181687903850399,0.0412824281046553,0.00630746274286896,-0.0116762209512586,-0.0307505689538652,-0.0244049769652551,-0.0221523807038221,-0.07530390608558,0.0198646047582656,0.059597946670717,-0.00295105740284291,-0.0170458937097338,-0.105435163185787,-0.0860540250208367,-0.0200663313066883,0.0511652728099641,0.0200135723427776,0.0336298193879691,-0.041814924272567,-0.0174506227837091,0.00882847431873159,0.0246467626321031,5.74967455374206e-14
"B10",0.0362636157637361,-0.312211116731891,0.136022639231319,0.138873307112801,-0.0369428945014982,-0.00238918361561704,0.0766927147292597,-0.102202626030517,-0.0540893839333417,-0.0894345563536715,-0.0409808104174792,-0.00673871503420766,0.0631796542490576,0.0577810921680195,-0.0308761476214352,-0.0710390873959279,-0.0788644709145526,-0.0521893076262212,0.0420682045693974,-0.0416315104089705,-0.0160920963917362,-0.0982261422622728,-0.0969034934253536,0.0330130134823523,0.0227728033237565,-0.0210318016570308,0.0575085086597238,0.0478975661708339,0.110455546055536,0.039938129146314,-0.00141478011781089,-0.0692633555257655,-0.0098115313755876,-0.0219416110225871,-0.009914085704336,-0.0164203755487813,0.00498553862155608,0.0922796856563248,-0.0125148329397052,-0.0140499912114354,0.052733635535592,-0.0362564815781565,0.0219003824047652,0.00945204230929322,0.0274690800040285,-0.0297231535677675,-0.0450191837196946,-0.00147802249208262,0.0265788459995696,-0.0285989773395191,0.0399108167572316,-0.0185987241229277,-0.0457512199174255,0.03062297194213,0.0686335629117597,-0.0130252706022383,0.0102870389923356,0.0258935638191555,-0.0192846078938185,0.122045546000273,-0.0660695228112414,0.0064226459031154,-0.085772118393522,0.0393064984488766,-0.0535904026206468,-0.0460169235292204,0.000747810598238938,5.75697055673653e-14
